direction,breakout_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,result,entry_type,pnl,rr_multiple,range_high,range_low,range_width,breakout_close,ema_value
LONG,2025-01-22 07:45:00,2025-01-22 08:00:00,2025-01-22 08:15:00,2755.68,2750.25,2766.5399999999995,2750.25,LOSS,PULLBACK,-5.429999999999836,-1.0,2755.68,2750.25,5.429999999999836,2756.45,2698.577928946107
LONG,2025-01-22 09:30:00,2025-01-22 09:35:00,2025-01-22 11:25:00,2751.3,2745.94,2762.0200000000004,2762.0200000000004,WIN,PULLBACK,10.720000000000255,2.0,2751.3,2745.94,5.360000000000127,2751.95,2699.5488216676513
LONG,2025-01-22 12:35:00,2025-01-22 12:40:00,2025-01-22 13:15:00,2762.73,2757.5,2773.19,2757.5,LOSS,PULLBACK,-5.230000000000018,-1.0,2762.73,2757.5,5.230000000000018,2763.07,2701.254750766018
LONG,2025-01-22 14:55:00,2025-01-22 15:15:00,2025-01-22 15:35:00,2757.94,2751.64,2770.5400000000004,2751.64,LOSS,PULLBACK,-6.300000000000182,-1.0,2757.94,2751.64,6.300000000000182,2758.15,2702.364121806022
LONG,2025-01-24 17:15:00,2025-01-24 17:20:00,2025-01-24 18:15:00,2783.41,2773.87,2802.49,2773.87,LOSS,PULLBACK,-9.539999999999964,-1.0,2783.41,2773.87,9.539999999999964,2783.82,2725.0313503075763
LONG,2025-01-27 03:00:00,2025-01-27 03:05:00,2025-01-27 03:35:00,2770.94,2765.83,2781.1600000000003,2765.83,LOSS,PULLBACK,-5.110000000000127,-1.0,2770.94,2765.83,5.110000000000127,2771.6,2729.1909214604884
LONG,2025-01-27 12:25:00,2025-01-27 13:05:00,2025-01-27 15:00:00,2765.66,2760.13,2776.7199999999993,2760.13,LOSS,PULLBACK,-5.529999999999745,-1.0,2765.66,2760.13,5.529999999999745,2767.64,2731.6691945570064
SHORT,2025-01-27 19:00:00,2025-01-27 19:05:00,2025-01-27 19:20:00,2733.37,2743.14,2713.83,2735.06,FILTER_EXIT,PULLBACK,-1.6900000000000546,-0.17297850562948391,2743.14,2733.37,9.769999999999982,2732.59,2732.895272573729
LONG,2025-01-31 09:20:00,2025-01-31 10:00:00,2025-01-31 10:55:00,2797.33,2792.18,2807.63,2792.18,LOSS,PULLBACK,-5.150000000000091,-1.0,2797.33,2792.18,5.150000000000091,2799.04,2752.727940836751
LONG,2025-01-31 13:25:00,2025-01-31 13:30:00,2025-01-31 14:40:00,2796.33,2791.02,2806.95,2806.95,WIN,PULLBACK,10.61999999999989,2.0,2796.33,2791.02,5.309999999999945,2796.56,2754.4007207872155
LONG,2025-01-31 17:00:00,2025-01-31 17:15:00,2025-01-31 19:10:00,2812.52,2804.54,2828.48,2804.54,LOSS,PULLBACK,-7.980000000000018,-1.0,2812.52,2804.54,7.980000000000018,2813.1,2756.5201539206882
LONG,2025-01-31 19:15:00,2025-01-31 19:20:00,2025-01-31 20:15:00,2809.67,2802.93,2823.1500000000005,2802.93,LOSS,PULLBACK,-6.7400000000002365,-1.0,2809.67,2802.93,6.7400000000002365,2810.93,2757.539902364129
LONG,2025-02-04 14:30:00,2025-02-04 14:35:00,2025-02-04 15:20:00,2820.03,2814.32,2831.4500000000003,2831.4500000000003,WIN,PULLBACK,11.420000000000073,2.0,2820.03,2814.32,5.710000000000036,2820.34,2774.575032418827
LONG,2025-02-06 14:00:00,2025-02-06 14:10:00,2025-02-06 15:45:00,2867.33,2858.3,2885.3899999999994,2858.3,LOSS,PULLBACK,-9.029999999999745,-1.0,2867.33,2858.3,9.029999999999745,2869.34,2806.0505832126164
LONG,2025-02-10 15:15:00,2025-02-10 15:20:00,2025-02-10 15:40:00,2907.0,2901.26,2918.4799999999996,2901.26,LOSS,PULLBACK,-5.739999999999782,-1.0,2907.0,2901.26,5.739999999999782,2908.91,2830.7886993565476
LONG,2025-02-11 02:45:00,2025-02-11 02:50:00,2025-02-11 03:15:00,2921.5,2916.42,2931.66,2931.66,WIN,PULLBACK,10.159999999999854,2.0,2921.5,2916.42,5.079999999999927,2921.89,2838.223849667904
LONG,2025-02-11 03:50:00,2025-02-11 04:30:00,2025-02-11 04:35:00,2932.36,2919.62,2957.8400000000006,2919.62,LOSS,PULLBACK,-12.740000000000236,-1.0,2932.36,2919.62,12.740000000000236,2935.49,2839.176348676184
LONG,2025-02-11 07:30:00,2025-02-11 07:35:00,2025-02-11 09:00:00,2919.79,2914.64,2930.09,2914.64,LOSS,PULLBACK,-5.150000000000091,-1.0,2919.79,2914.64,5.150000000000091,2920.81,2842.3220454669645
LONG,2025-02-14 12:30:00,2025-02-14 12:35:00,2025-02-14 13:10:00,2939.65,2934.1,2950.7500000000005,2934.1,LOSS,PULLBACK,-5.550000000000182,-1.0,2939.65,2934.1,5.550000000000182,2939.74,2878.2286424341746
LONG,2025-02-14 15:30:00,2025-02-14 15:35:00,2025-02-14 15:40:00,2932.53,2925.82,2945.9500000000003,2925.82,LOSS,PULLBACK,-6.710000000000036,-1.0,2932.53,2925.82,6.710000000000036,2932.56,2879.683498691552
SHORT,2025-02-17 01:30:00,2025-02-17 01:35:00,2025-02-17 01:40:00,2879.95,2893.89,2852.0699999999997,2881.27,FILTER_EXIT,PULLBACK,-1.3200000000001637,-0.094691535150657,2893.89,2879.95,13.940000000000055,2879.77,2880.609449999294
SHORT,2025-02-17 01:45:00,2025-02-17 01:50:00,2025-02-17 02:00:00,2878.67,2893.89,2848.2300000000005,2884.37,FILTER_EXIT,PULLBACK,-5.699999999999818,-0.3745072273324503,2893.89,2878.67,15.2199999999998,2878.11,2880.609449999294
LONG,2025-02-18 14:45:00,2025-02-18 14:55:00,2025-02-18 16:50:00,2916.74,2911.72,2926.7799999999997,2926.7799999999997,WIN,PULLBACK,10.039999999999964,2.0,2916.74,2911.72,5.019999999999982,2917.79,2887.172652244111
LONG,2025-02-19 15:00:00,2025-02-19 15:50:00,2025-02-19 16:25:00,2936.69,2931.06,2947.9500000000003,2931.06,LOSS,PULLBACK,-5.630000000000109,-1.0,2936.69,2931.06,5.630000000000109,2939.46,2897.04528901631
LONG,2025-02-20 15:30:00,2025-02-20 15:35:00,2025-02-20 15:40:00,2947.14,2940.59,2960.2399999999993,2940.59,LOSS,PULLBACK,-6.549999999999727,-1.0,2947.14,2940.59,6.549999999999727,2947.44,2905.853752681399
LONG,2025-02-21 03:00:00,2025-02-21 03:35:00,2025-02-21 03:40:00,2942.73,2937.01,2954.1699999999996,2937.01,LOSS,PULLBACK,-5.7199999999998,-1.0,2942.73,2937.01,5.7199999999998,2943.65,2909.2570346238563
LONG,2025-02-21 13:25:00,2025-02-21 13:30:00,2025-02-21 13:55:00,2934.89,2928.88,2946.9099999999994,2928.88,LOSS,PULLBACK,-6.0099999999997635,-1.0,2934.89,2928.88,6.0099999999997635,2935.81,2911.2261818267125
LONG,2025-02-21 16:25:00,2025-02-21 16:30:00,2025-02-21 17:20:00,2935.48,2926.84,2952.7599999999998,2926.84,LOSS,PULLBACK,-8.639999999999873,-1.0,2935.48,2926.84,8.639999999999873,2935.56,2911.8279864972324
LONG,2025-02-24 15:35:00,2025-02-24 15:45:00,2025-02-24 16:25:00,2951.26,2945.44,2962.9000000000005,2945.44,LOSS,PULLBACK,-5.820000000000164,-1.0,2951.26,2945.44,5.820000000000164,2951.72,2917.442448767566
SHORT,2025-02-27 09:05:00,2025-02-27 09:10:00,2025-02-27 11:05:00,2891.83,2898.45,2878.59,2878.59,WIN,PULLBACK,13.239999999999782,2.0,2898.45,2891.83,6.619999999999891,2891.23,2918.671431869344
SHORT,2025-02-28 03:50:00,2025-02-28 04:20:00,2025-02-28 06:05:00,2876.91,2885.05,2860.629999999999,2860.629999999999,WIN,PULLBACK,16.280000000000655,2.0,2885.05,2876.91,8.140000000000327,2875.19,2912.6819734871838
SHORT,2025-02-28 10:40:00,2025-02-28 10:45:00,2025-02-28 11:15:00,2853.62,2861.14,2838.58,2861.14,LOSS,PULLBACK,-7.519999999999982,-1.0,2861.14,2853.62,7.519999999999982,2852.23,2909.353914451723
SHORT,2025-02-28 14:35:00,2025-02-28 15:00:00,2025-02-28 15:55:00,2859.86,2864.93,2849.7200000000007,2849.7200000000007,WIN,PULLBACK,10.139999999999418,2.0,2864.93,2859.86,5.069999999999709,2858.74,2907.452457507042
SHORT,2025-03-03 21:55:00,2025-03-03 22:00:00,2025-03-03 22:55:00,2882.28,2891.31,2864.2200000000007,2891.31,LOSS,PULLBACK,-9.029999999999745,-1.0,2891.31,2882.28,9.029999999999745,2881.59,2896.8851065861177
SHORT,2025-03-04 07:50:00,2025-03-04 07:55:00,2025-03-04 09:20:00,2889.33,2894.45,2879.09,2894.45,LOSS,PULLBACK,-5.119999999999891,-1.0,2894.45,2889.33,5.119999999999891,2889.15,2896.287793405098
LONG,2025-03-04 14:55:00,2025-03-04 15:00:00,2025-03-04 16:10:00,2924.42,2918.73,2935.8,2918.73,LOSS,PULLBACK,-5.690000000000055,-1.0,2924.42,2918.73,5.690000000000055,2924.8,2897.315280842974
LONG,2025-03-05 04:15:00,2025-03-05 04:25:00,2025-03-05 04:35:00,2911.36,2903.59,2926.9,2903.59,LOSS,PULLBACK,-7.769999999999982,-1.0,2911.36,2903.59,7.769999999999982,2914.26,2899.1486536255065
LONG,2025-03-05 07:50:00,2025-03-05 08:40:00,2025-03-05 12:55:00,2915.52,2909.75,2927.06,2909.75,LOSS,PULLBACK,-5.769999999999982,-1.0,2915.52,2909.75,5.769999999999982,2916.98,2899.5487686850415
LONG,2025-03-05 14:10:00,2025-03-05 14:15:00,2025-03-05 15:20:00,2917.37,2911.97,2928.17,2911.97,LOSS,PULLBACK,-5.400000000000091,-1.0,2917.37,2911.97,5.400000000000091,2917.84,2900.701373058154
