TradeID,EntryTime,Type,EntryPrice,SL,TP,Risk,WindowType,WindowHigh,WindowLow,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Is_Consolidating,Is_Tight_Range,Consolidation_Score,Trend_Score,EMA_9_Above_21,EMA_21_Above_50,Price_Above_EMA200_1H,ExitTime,ExitPrice,P&L,R_Multiple,Status,EntryHour,EntryDayOfWeek,RangeSize,RangeSizePct,RangeCategory,TradeID_x,ReachedTP,WaitDuration_Min,BestPossibleP&L,WouldHaveWon,TradeID_y,MaxFavorable_Min30,MinAdverse_Min30,WentAgainstFirst,Duration_Minutes,EMA_Pattern,Risk_Range,ATR_Range,RangeSize_Category,ShouldAvoid
,2025-03-05 17:05:00,SELL,2912.39,2918.83,2899.51,6.440000000000055,1630,2918.83,2914.28,2915.259829596215,2915.611045275524,2915.8939836204104,2900.6935983638687,2.2602777660350686,0.0776090347115279,1.12818420109934,0,0,0.0,0.3333333333333333,0,0,1,2025-03-05 17:40:00,2899.51,12.88000000000011,2.0,TP_HIT,17.0,2.0,4.549999999999727,0.1562290764629643,Medium (0.15-0.2%),213.0,,,,,,,,,,001,5-10,1.0-1.2,3-5,False
151.0,2025-03-11 17:00:00,SELL,2910.22,2915.91,2898.84,5.690000000000055,1630,2915.91,2912.25,2912.8750194956715,2912.908070798302,2911.1668717798534,2905.010263045192,2.155441543248159,0.0740645567430695,1.3415912546954774,0,0,0.0,0.6666666666666666,0,1,1,2025-03-11 17:35:00,2915.91,-5.690000000000055,-1.0,SL_HIT,17.0,1.0,3.659999999999856,0.1257636879686021,Small (0.1-0.15%),225.0,False,,4.25,True,151.0,4.839999999999691,2.3100000000004,False,,011,5-10,1.2-1.5,3-5,False
155.0,2025-03-13 11:15:00,SELL,2935.16,2940.28,2924.919999999999,5.120000000000346,1000,2940.28,2935.36,2936.949447511809,2938.355549834352,2939.90641039927,2911.883243628268,1.670855018782213,0.0569255174771465,0.994764305119512,0,0,0.0,0.3333333333333333,0,0,1,2025-03-13 12:10:00,2940.28,-5.120000000000346,-1.0,SL_HIT,11.0,3.0,4.920000000000073,0.1676228893825233,Medium (0.15-0.2%),230.0,False,,-1.8299999999999272,False,155.0,1.890000000000328,3.0799999999999272,False,,001,5-10,0.8-1.0,3-5,False
,2025-03-20 14:10:00,SELL,3034.71,3049.46,3005.21,14.75,1000,3049.46,3045.64,3039.887813224552,3041.6718076769075,3043.823028197454,2984.9460275406336,2.362188292981936,0.0778390123926812,1.2223264664783284,0,0,0.0,0.3333333333333333,0,0,1,2025-03-21 17:55:00,3005.21,29.5,2.0,TP_HIT,14.0,3.0,3.820000000000164,0.1258769371702786,Small (0.1-0.15%),244.0,,,,,,,,,,001,10-15,1.2-1.5,3-5,False
,2025-03-27 08:30:00,BUY,3037.32,3017.6,3076.7600000000007,19.72000000000025,300,3020.45,3017.6,3035.3421520588063,3033.231105830246,3029.6634000908866,3009.9740208871426,1.3043901226830197,0.0429454296117307,0.9302998212247136,0,0,0.0,1.0,1,1,1,2025-03-28 06:05:00,3076.7600000000007,39.44000000000051,2.0,TP_HIT,8.0,3.0,2.849999999999909,0.093832720951362,Very Small (<0.1%),246.0,,,,,,,,,,111,15-20,0.8-1.0,<3,False
,2025-03-28 06:10:00,BUY,3073.84,3054.17,3113.1800000000003,19.67000000000008,300,3055.14,3054.17,3072.147600707479,3068.082930753538,3063.0827446994417,3017.835079522977,2.442297092989324,0.0794542686993898,1.359742004931138,0,0,0.0,1.0,1,1,1,2025-03-31 08:50:00,3113.1800000000003,39.34000000000015,2.0,TP_HIT,6.0,4.0,0.9699999999998,0.0315566197329659,Very Small (<0.1%),247.0,,,,,,,,,,111,15-20,1.2-1.5,<3,False
,2025-03-31 08:55:00,BUY,3113.33,3087.96,3164.07,25.36999999999989,300,3090.76,3087.96,3111.7326052001454,3109.2454003861903,3103.230182416094,3032.8589506774565,2.053913105118245,0.0659715836457505,0.7469349672597587,0,1,0.5,1.0,1,1,1,2025-04-03 03:45:00,3164.07,50.73999999999978,2.0,TP_HIT,8.0,0.0,2.800000000000182,0.0899358564623789,Very Small (<0.1%),248.0,,,,,,,,,,111,20+,<0.8,<3,False
166.0,2025-04-03 03:50:00,BUY,3164.09,3145.32,3201.63,18.769999999999985,300,3156.93,3145.32,3159.0575294568043,3151.421992067113,3141.2480045905563,3076.609228355775,4.279345559192577,0.1352472767586439,0.6511794574117401,1,0,0.5,1.0,1,1,1,2025-04-03 04:15:00,3145.32,-18.769999999999985,-1.0,SL_HIT,3.0,3.0,11.609999999999673,0.3669301442120696,Very Large (>0.3%),249.0,False,,-1.1400000000003274,False,166.0,14.889999999999873,3.1400000000003274,False,,111,15-20,<0.8,>10,False
167.0,2025-04-03 17:10:00,SELL,3059.4,3079.13,3019.94,19.73000000000001,1630,3079.13,3060.95,3070.019744841692,3079.086452084446,3094.3625317777755,3082.601472880611,7.130050960437969,0.2330538981642795,1.2559539489471443,0,0,0.0,0.0,0,0,0,2025-04-03 17:35:00,3079.13,-19.73000000000001,-1.0,SL_HIT,17.0,3.0,18.18000000000029,0.5942341635614922,Very Large (>0.3%),251.0,False,,0.0399999999999636,True,167.0,0.8500000000003638,1.9899999999997813,False,,000,15-20,1.2-1.5,>10,False
,2025-04-04 10:15:00,SELL,3104.14,3109.87,3092.68,5.730000000000018,1000,3109.87,3106.43,3105.953718217753,3104.2874417210714,3103.516512148551,3086.4678890745736,2.777248838374243,0.0894691875487008,0.953500773694278,0,1,0.5,1.0,1,1,1,2025-04-04 11:50:00,3092.68,11.460000000000036,2.0,TP_HIT,10.0,4.0,3.4400000000000546,0.1108197439548491,Small (0.1-0.15%),253.0,,,,,,,,,,111,5-10,0.8-1.0,3-5,False
