TradeID,EntryTime,Type,EntryPrice,SL,TP,Risk,WindowType,WindowHigh,WindowLow,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Is_Consolidating,Is_Tight_Range,Consolidation_Score,Trend_Score,EMA_9_Above_21,EMA_21_Above_50,Price_Above_EMA200_1H,ExitTime,ExitPrice,P&L,R_Multiple,Status,EntryHour,EntryDayOfWeek,RangeSize,RangeSizePct,RangeCategory,TradeID_x,ReachedTP,WaitDuration_Min,BestPossibleP&L,WouldHaveWon,TradeID_y,MaxFavorable_Min30,MinAdverse_Min30,WentAgainstFirst,Duration_Minutes,Risk_Range,ATR_Range,ShouldAvoid,HighRisk,AvoidConsolidation,AvoidTrade
13.0,2024-11-19 16:45:00,SELL,2634.26,2636.91,2628.960000000001,2.649999999999636,1630,2636.91,2635.08,2634.40461581464,2633.666351070728,2631.5250507776605,2615.876975384211,1.6960861431970498,0.0643856773134409,0.9844932698120732,0,0,0.0,1.0,1,1,1,2024-11-19 16:55:00,2636.91,-2.649999999999636,-1.0,SL_HIT,16.0,1.0,1.8299999999999272,0.069469224753818,Very Small (<0.1%),21.0,True,80.0,15.350000000000364,True,13.0,0.3699999999998908,0.7399999999997817,False,,0-5,0.8-1.0,False,False,False,False
,2024-11-20 03:15:00,BUY,2633.88,2631.79,2638.0600000000004,2.090000000000145,300,2633.49,2631.79,2632.7204468634773,2632.306414123449,2631.3347379358665,2617.225616278492,1.0257033607553014,0.0389426762326036,0.95426820493035,0,1,0.5,1.0,1,1,1,2024-11-20 04:30:00,2638.0600000000004,4.180000000000291,2.0,TP_HIT,3.0,2.0,1.699999999999818,0.0645435631084111,Very Small (<0.1%),22.0,,,,,,,,,,0-5,0.8-1.0,False,False,False,False
14.0,2024-11-20 10:15:00,SELL,2629.68,2637.05,2614.939999999999,7.370000000000346,1000,2637.05,2630.78,2633.733107915765,2635.4191951336834,2636.6379364408303,2618.554478101418,2.019829162366276,0.0768089334963294,1.6627818468357702,0,0,0.0,0.3333333333333333,0,0,1,2024-11-20 17:20:00,2637.05,-7.370000000000346,-1.0,SL_HIT,10.0,2.0,6.269999999999982,0.2384320525691332,Large (0.2-0.3%),23.0,False,,-3.710000000000037,False,14.0,0.4900000000002364,8.489999999999782,False,,5-10,>1.5,False,False,False,False
,2024-11-20 17:25:00,BUY,2637.58,2627.08,2658.58,10.5,1630,2631.66,2627.08,2634.5214126921146,2631.433401863117,2628.620865924143,2619.128646522042,2.296912156443197,0.0870840754192554,1.225898443778214,0,0,0.0,1.0,1,1,1,2024-11-21 04:50:00,2658.58,21.0,2.0,TP_HIT,17.0,2.0,4.579999999999927,0.1736440221718365,Medium (0.15-0.2%),24.0,,,,,,,,,,10-15,1.2-1.5,False,False,False,False
,2024-11-21 04:55:00,BUY,2658.43,2648.63,2678.03,9.799999999999727,300,2651.27,2648.63,2656.545540005694,2654.338493797155,2652.003680813963,2622.111519658269,1.162856724476958,0.0437422359993288,1.0563829541491232,0,0,0.0,1.0,1,1,1,2024-11-22 05:10:00,2678.03,19.59999999999945,2.0,TP_HIT,4.0,3.0,2.6399999999998727,0.0993067336736296,Very Small (<0.1%),25.0,,,,,,,,,,5-10,1.0-1.2,False,False,False,False
,2024-11-22 05:15:00,BUY,2676.15,2669.08,2690.2900000000004,7.070000000000164,300,2669.95,2669.08,2674.674656959818,2672.9155217563043,2671.3929171149293,2631.545101990492,1.7166432372988591,0.06414600217846,1.5848868475332325,0,0,0.0,1.0,1,1,1,2024-11-22 07:20:00,2690.2900000000004,14.140000000000327,2.0,TP_HIT,5.0,4.0,0.8699999999998909,0.0325093884871883,Very Small (<0.1%),26.0,,,,,,,,,,5-10,>1.5,False,False,False,False
,2024-11-22 10:45:00,BUY,2690.23,2686.42,2697.85,3.8099999999999454,1000,2689.06,2686.42,2688.404116812976,2687.690121824018,2685.6707744848804,2634.302551764062,1.8045628339456847,0.0670783848944397,0.8924460497236825,0,1,0.5,1.0,1,1,1,2024-11-22 11:50:00,2697.85,7.619999999999891,2.0,TP_HIT,10.0,4.0,2.6399999999998727,0.0981328733974371,Very Small (<0.1%),27.0,,,,,,,,,,0-5,0.8-1.0,False,False,False,False
15.0,2024-11-22 16:50:00,BUY,2703.44,2697.11,2716.1,6.329999999999927,1630,2703.3,2697.11,2701.5279223227635,2701.533222393679,2700.6787391858493,2638.19283218579,2.504774348069592,0.0926513755833157,0.877130487456542,0,1,0.5,0.6666666666666666,0,1,1,2024-11-22 17:20:00,2697.11,-6.329999999999927,-1.0,SL_HIT,16.0,4.0,6.190000000000055,0.2289675376557295,Large (0.2-0.3%),28.0,False,,12.059999999999944,True,15.0,6.0900000000001455,3.789999999999964,False,,5-10,0.8-1.0,False,False,False,False
,2024-11-25 11:15:00,BUY,2670.06,2661.74,2686.7000000000003,8.320000000000164,1000,2668.72,2661.74,2667.3601509749024,2667.7019602956825,2673.368706923887,2647.921143165914,3.250879448107532,0.1217530485497528,0.8418948950710402,0,1,0.5,0.3333333333333333,0,0,1,2024-11-25 15:30:00,2686.7000000000003,16.640000000000327,2.0,TP_HIT,11.0,0.0,6.980000000000018,0.2614173464266727,Large (0.2-0.3%),30.0,,,,,,,,,,5-10,0.8-1.0,False,False,False,False
17.0,2024-11-25 16:45:00,SELL,2680.68,2684.69,2672.6599999999994,4.010000000000218,1630,2684.69,2680.72,2682.705537703232,2682.2535394471847,2679.0957904604297,2649.403887597239,2.2854698421182595,0.0852570930554284,0.9752179870619804,0,1,0.5,1.0,1,1,1,2024-11-25 17:10:00,2684.69,-4.010000000000218,-1.0,SL_HIT,16.0,0.0,3.970000000000255,0.1480967515705065,Small (0.1-0.15%),31.0,True,55.0,75.81999999999971,True,17.0,1.360000000000127,2.5,False,,0-5,0.8-1.0,False,False,False,False
