WindowID,EntryTime,Loss_baseline_breakout,Loss_pullback_ema,Loss_pullback_ema_reversal,Loss_pullback_only,Loss_reversal_failed_move,Loss_reversal_only,R_Multiple_baseline_breakout,R_Multiple_pullback_ema,R_Multiple_pullback_ema_reversal,R_Multiple_pullback_only,R_Multiple_reversal_failed_move,R_Multiple_reversal_only,TradeTaken_baseline_breakout,TradeTaken_pullback_ema,TradeTaken_pullback_ema_reversal,TradeTaken_pullback_only,TradeTaken_reversal_failed_move,TradeTaken_reversal_only,Win_baseline_breakout,Win_pullback_ema,Win_pullback_ema_reversal,Win_pullback_only,Win_reversal_failed_move,Win_reversal_only,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,RangeHigh,RangeLow,RangeWidth,RangeMid,EntryOffset,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeAtrRatio,ATR_Value,PriceAboveEMA200_5M,Price_Above_EMA200_5M,Price_Above_EMA200_1H,Market,BestMode,BestResult,BestRR,TargetWin
2025-07-07_0300,2025-07-07 03:40:00,1.0,,,,,,-1.0,,,,,,1.0,,,,,,0.0,,,,,,22782.000345858927,22782.639819857264,22769.81866442293,22756.71341681036,22661.10408942162,11.312920322065963,0.0496888345906032,0.8541832216859981,0.5,0.6666666666666666,0,1,22800.28,22778.15,22.12999999999738,22789.215,-21.68500000000131,10.62000000000262,0.9621166566447698,0.9387496506351418,1.9561704113510456,11.312920322065963,1,1,1,UT100,baseline_breakout,LOSS,-1.0,0
2025-07-07_0300,2025-07-07 05:05:00,,,0.0,,,0.0,,,2.0,,,2.0,,,1.0,,,1.0,,,1.0,,,1.0,22745.099294931617,22752.543882379097,22758.14149527829,22755.18348155329,22662.889155842324,11.718025841854294,0.0515173620858651,0.8834883900086167,0.0,0.3333333333333333,0,0,22800.28,22778.15,22.12999999999738,22789.215,-44.875,0.0,0.6283320639757537,0.0,1.5734299355353158,14.064814390650488,0,0,1,UT100,pullback_ema_reversal,WIN,2.0,1
2025-07-07_1000,2025-07-07 11:20:00,,,,,,1.0,,,,,,-1.0,,,,,,1.0,,,,,,0.0,22732.58614940584,22736.172918652446,22741.68692861269,22750.447464240573,22667.72787130572,13.28005194213154,0.0584212850702594,1.1572844372419084,0.0,0.3333333333333333,0,0,22748.9,22729.9,19.0,22739.4,-14.467499999998836,0.0,0.8829629629628336,0.0,1.5363819969091908,12.366716115017724,0,0,1,UT100,reversal_only,LOSS,-1.0,0
2025-07-07_1000,2025-07-07 12:15:00,,,0.0,,,,,,2.0,,,,,,1.0,,,,,,1.0,,,,22722.43611432033,22726.710158580736,22734.590463597782,22747.46908964199,22668.702220844963,9.837384522100336,0.0432887636324367,0.8373293313502137,0.0,0.3333333333333333,0,0,22748.9,22729.9,19.0,22739.4,-17.31000000000131,0.0,0.5144444444441534,0.0,1.7306133813236184,10.97876637557737,0,0,1,UT100,pullback_ema_reversal,WIN,2.0,1
2025-07-07_1000,2025-07-07 12:35:00,,,,1.0,,,,,,-1.0,,,,,,1.0,,,,,,0.0,,,22725.862344425608,22726.862493395754,22733.43085074619,22746.64737666248,22668.702220844963,9.612306949840791,0.0422699586365726,0.8384253629026585,0.0,0.3333333333333333,0,0,22748.9,22729.9,19.0,22739.4,-9.5,9.37000000000262,0.5144444444441534,0.853465651737202,1.7306133813236184,10.97876637557737,0,0,1,UT100,pullback_only,LOSS,-1.0,0
2025-07-07_1630,2025-07-07 17:55:00,1.0,,,,,,-1.0,,,,,,1.0,,,,,,0.0,,,,,,22721.81407811887,22733.232414925536,22745.08983226136,22750.78089726425,22672.57765319731,25.001028998292824,0.1101433390398135,1.0455715224358246,0.0,0.3333333333333333,0,0,22776.15,22701.9,74.25,22739.025,-40.39500000000044,3.270000000000437,0.5393436140766685,0.1307946165025338,2.969877760034201,25.001028998292824,0,0,1,UT100,baseline_breakout,LOSS,-1.0,0
2025-07-07_1630,2025-07-07 18:00:00,,,,1.0,,,,,,-1.0,,,,,,1.0,,,,,,0.0,,,22718.10926249509,22730.51037720503,22743.45062315307,22750.308351022817,22673.143447692863,25.1942251318534,0.110971692348789,1.024795422269873,0.0,0.3333333333333333,0,0,22776.15,22701.9,74.25,22739.025,-37.125,3.270000000000437,0.5393436140766685,0.1307946165025338,2.969877760034201,25.001028998292824,0,0,1,UT100,pullback_only,LOSS,-1.0,0
2025-07-07_1630,2025-07-07 18:05:00,,,0.0,,,0.0,,,2.0,,,2.0,,,1.0,,,1.0,,,1.0,,,1.0,22716.23340999608,22728.530342913666,22742.08903008824,22749.894636087265,22673.143447692863,23.470995114273,0.1033567051714164,0.9346989579228632,0.0,0.3333333333333333,0,0,22776.15,22701.9,74.25,22739.025,-35.72500000000218,0.0,0.5393436140766685,0.0,2.969877760034201,25.001028998292824,0,0,1,UT100,pullback_ema_reversal,WIN,2.0,1
2025-07-08_0300,2025-07-08 03:30:00,,0.0,0.0,,,,,2.0,2.0,,,,,1.0,1.0,,,,,1.0,1.0,,,,22679.878682561743,22672.103977800096,22666.230312351752,22697.0982389062,22673.235967436565,9.60740590649928,0.0423517702463911,0.8960856273463957,0.5,1.0,0,1,22684.4,22662.4,22.0,22673.4,11.0,4.379999999997381,0.6433823529413314,0.4253981091718354,2.1367028314579857,10.296237584422649,0,0,1,UT100,pullback_ema,WIN,2.0,1
2025-07-08_1000,2025-07-08 10:40:00,,1.0,1.0,,,,,-1.0,-1.0,,,,,1.0,1.0,,,,,0.0,0.0,,,,22744.431133238308,22740.737489835643,22732.9107816656,22715.413026180056,22677.385683262968,10.975743029390369,0.0482375395351418,1.180257748056634,0.0,1.0,0,0,22752.15,22728.65,23.5,22740.4,11.75,1.3799999999973809,0.7901815736380585,0.1213177415903134,2.0659180633172296,11.375088110835442,1,1,1,UT100,pullback_ema,LOSS,-1.0,0
