WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice_x,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow,Mode,MAE,MFE,BarsTracked,EntryPrice_y,StopPrice,TargetPrice,Bar1_Move,Bar3_Move,Bar5_Move,Bar10_Move,WinFlag,Depth_to_Stop,Depth_to_Range
2025-09-09_1630,1630,BREAKOUT,SELL,2025-09-09 16:50:00,2025-09-09 22:20:00,23774.77,23825.15,23825.15,23674.01,50.38000000000102,-50.38000000000102,-1.0,SL_HIT,11.0099999999984,0.8076781100037247,0.5346970810394154,39.37000000000262,23805.465,-30.69499999999971,1.911991287967869,0,20.59109800748434,23795.536841175257,23800.11001828879,23805.10406221646,23797.62634876163,23578.04823320953,20.59109800748434,0.086609031370164,1.5463563788840613,0.0,0.3333333333333333,0,0,0,1,1630,23825.15,23785.78,baseline_breakout,41.29999999999927,81.22999999999956,20,23774.77,23825.15,23674.01,0.0,12.319999999999707,-26.700000000000728,65.43999999999869,0,0.8197697499007233,1.0490220980441078
2025-09-10_0300,300,BREAKOUT,BUY,2025-09-10 03:35:00,2025-09-10 04:00:00,23868.78,23852.15,23852.15,23902.039999999997,16.62999999999738,-16.62999999999738,-1.0,SL_HIT,1.25,0.4292237442918961,0.2106063322274341,15.37999999999738,23859.84,8.93999999999869,2.591300311725908,1,5.9352441437996415,23864.42296563492,23861.67384055769,23851.94739071816,23818.041345836184,23601.02769516845,5.9352441437996415,0.0248661395504908,0.7640366792072973,0.5,1.0,0,1,1,1,300,23867.53,23852.15,baseline_breakout,18.75,1.0,6,23868.78,23852.15,23902.04,0.0,-10.0,-11.75,,0,1.1274804570055894,1.2191157347206238
2025-09-10_1000,1000,BREAKOUT,SELL,2025-09-10 11:00:00,2025-09-10 14:40:00,23900.78,23924.53,23924.53,23853.28,23.75,-23.75,-1.0,SL_HIT,7.120000000002619,0.64984472049723,0.8374439552034626,16.62999999999738,23916.215,-15.43500000000131,1.9559962043576216,1,8.502061488129995,23909.567839103383,23908.55348803684,23900.28685083,23861.77261622911,23623.244187861343,8.502061488129995,0.0355723180922547,1.1587911287794663,0.0,1.0,0,0,1,1,1000,23924.53,23907.9,baseline_breakout,11.0,47.37999999999738,20,23900.78,23924.53,23853.28,0.0,1.1299999999973809,12.75,27.12999999999738,0,0.4631578947368421,0.6614552014432792
2025-09-10_1630,1630,BREAKOUT,SELL,2025-09-10 16:50:00,2025-09-11 16:30:00,23887.4,23970.9,23970.9,23720.4,83.5,-83.5,-1.0,SL_HIT,2.0,0.5488780487804367,0.0639089894907847,81.5,23930.15,-42.75,2.604291321749479,1,31.29450200880404,23926.5836476466,23935.941673084613,23924.578189375872,23886.707916287847,23637.46343978418,31.29450200880404,0.1310084061421671,1.5522344813998687,0.0,0.6666666666666666,0,0,1,1,1630,23970.9,23889.4,baseline_breakout,71.05999999999767,15.12000000000262,20,23887.4,23970.9,23720.4,0.0,-46.37999999999738,-41.43999999999869,-54.04999999999927,0,0.8510179640718284,0.871901840490769
2025-09-11_1630,1630,BREAKOUT,BUY,2025-09-11 17:35:00,2025-09-15 16:30:00,23983.9,24179.140000000007,23886.28,24179.140000000007,97.62000000000262,195.24000000000524,2.0,TP_HIT,12.37000000000262,0.8914392059553526,0.4522002812705143,85.25,23928.905,54.99500000000262,3.116416651439223,1,27.35513557233429,23952.680216345623,23940.57913114122,23926.948546801126,23899.83173634886,23692.118307175137,27.35513557233429,0.1140562442819319,1.0378804084637734,0.0,1.0,0,0,1,1,1630,23971.53,23886.28,baseline_breakout,36.62000000000262,32.43000000000029,20,23983.9,23886.28,24179.140000000007,0.0,-6.0,-9.25,14.779999999998836,1,0.3751280475312604,0.4295601173020835
2025-09-15_1630,1630,BREAKOUT,BUY,2025-09-15 16:45:00,2025-09-16 05:30:00,24210.9,24322.640000000007,24155.03,24322.640000000007,55.87000000000262,111.74000000000524,2.0,TP_HIT,2.37000000000262,0.8261494252874599,0.1219169600881165,53.5,24181.78,29.12000000000262,2.752133909159083,1,19.439461074896236,24177.757622996334,24158.653679175364,24136.41926000309,24105.3914610166,23828.03156516868,19.439461074896236,0.0802921868864694,1.5857345624521328,0.0,1.0,0,0,1,1,1630,24208.53,24155.03,baseline_breakout,17.75,39.05999999999767,20,24210.9,24155.03,24322.640000000007,0.0,32.5,21.75,11.12999999999738,1,0.31770180776801804,0.3317757009345794
2025-09-16_0300,300,BREAKOUT,BUY,2025-09-16 05:35:00,2025-09-16 11:45:00,24315.73,24383.39,24281.9,24383.39,33.82999999999811,67.65999999999622,2.0,TP_HIT,24.950000000000728,0.8116385911179506,4.006802277395603,8.87999999999738,24286.34,29.389999999999414,1.4260683055415395,1,6.226910706514342,24307.55346623042,24300.293232471813,24290.203654763587,24234.010458863784,23878.802990960827,6.226910706514342,0.0256085698702623,1.2264256127682882,0.0,1.0,0,0,1,1,300,24290.78,24281.9,baseline_breakout,6.43999999999869,12.470000000001164,20,24315.73,24281.9,24383.39,0.0,-2.0799999999981083,-3.1599999999998545,1.6500000000014552,1,0.19036358261894917,0.7252252252252916
2025-09-16_1000,1000,BREAKOUT,BUY,2025-09-16 11:50:00,2025-09-16 16:30:00,24385.78,24324.29,24324.29,24508.759999999995,61.48999999999796,-61.48999999999796,-1.0,SL_HIT,39.75,0.3518821603932128,4.674657170179467,21.739999999997963,24335.16,50.61999999999898,2.556655267413637,1,8.503297365542197,24376.863452428726,24365.61337222104,24349.101198503256,24290.464107188734,23905.69018864513,8.503297365542197,0.0348699010880201,0.9042323591791775,0.0,1.0,0,0,1,1,1000,24346.03,24324.29,baseline_breakout,26.639999999999414,3.139999999999418,20,24385.78,24324.29,24508.759999999995,0.0,0.2700000000004365,-5.819999999999709,-26.639999999999414,0,0.4332411774272288,1.2253909843607134
2025-09-16_1630,1630,BREAKOUT,SELL,2025-09-16 16:50:00,2025-09-17 18:05:00,24281.58,24158.960000000006,24342.89,24158.960000000006,61.30999999999767,122.61999999999534,2.0,TP_HIT,15.0,0.6580962800874401,0.741423270798385,46.30999999999767,24319.735,-38.15499999999884,2.289020778044766,0,20.23135851110741,24313.359687670105,24327.79654235659,24340.751399733726,24316.91587994196,23926.91688404535,20.23135851110741,0.0833197778361515,1.7758357412626282,0.0,0.3333333333333333,0,0,0,1,1630,24342.89,24296.58,baseline_breakout,26.349999999998545,26.17000000000189,20,24281.58,24342.89,24158.960000000006,0.0,1.5500000000029104,0.8500000000021828,3.290000000000873,1,0.42978306964605356,0.5689915784927633
2025-09-17_1630,1630,BREAKOUT,SELL,2025-09-17 18:10:00,2025-09-17 22:25:00,24181.4,24291.28,24291.28,23961.640000000007,109.87999999999738,-109.87999999999738,-1.0,SL_HIT,34.87999999999738,0.6176470588235294,1.7376650047198428,75.0,24253.78,-72.37999999999738,3.7363783071673735,0,20.07291388458442,24180.719241812367,24201.56634061177,24227.40790641544,24260.609809898862,24001.41190873045,20.07291388458442,0.083009726006701,0.974492025943376,0.0,0.3333333333333333,0,0,0,1,1630,24291.28,24216.28,baseline_breakout,11.0,59.0,20,24181.4,24291.28,23961.640000000007,0.0,8.37000000000262,16.0,20.75,0,0.10010921004732674,0.14666666666666667
