direction,breakout_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,result,entry_type,pnl,rr_multiple,range_high,range_low,range_width,breakout_close,ema_value
SHORT,2025-01-27 15:35:00,2025-01-27 15:50:00,2025-01-27 17:05:00,2756.55,2763.83,2741.9900000000007,2741.9900000000007,WIN,PULLBACK,14.55999999999949,2.0,2763.83,2756.55,7.279999999999745,2754.95,2732.601596563697
SHORT,2025-01-28 10:20:00,2025-01-28 10:25:00,2025-01-28 11:05:00,2737.33,2743.03,2725.9299999999994,2743.03,LOSS,PULLBACK,-5.700000000000273,-1.0,2743.03,2737.33,5.700000000000273,2737.11,2733.8632403803667
SHORT,2025-01-29 21:00:00,2025-01-29 21:05:00,2025-01-29 21:35:00,2748.79,2753.89,2738.59,2753.89,LOSS,PULLBACK,-5.099999999999909,-1.0,2753.89,2748.79,5.099999999999909,2747.01,2740.658763450222
LONG,2025-01-31 09:20:00,2025-01-31 10:00:00,2025-01-31 10:55:00,2797.33,2792.18,2807.63,2792.18,LOSS,PULLBACK,-5.150000000000091,-1.0,2797.33,2792.18,5.150000000000091,2799.04,2752.727940836751
LONG,2025-01-31 13:25:00,2025-01-31 13:30:00,2025-01-31 14:40:00,2796.33,2791.02,2806.95,2806.95,WIN,PULLBACK,10.61999999999989,2.0,2796.33,2791.02,5.309999999999945,2796.56,2754.4007207872155
LONG,2025-01-31 17:00:00,2025-01-31 17:15:00,2025-01-31 19:10:00,2812.52,2804.54,2828.48,2804.54,LOSS,PULLBACK,-7.980000000000018,-1.0,2812.52,2804.54,7.980000000000018,2813.1,2756.5201539206882
LONG,2025-01-31 19:15:00,2025-01-31 19:20:00,2025-01-31 20:15:00,2809.67,2802.93,2823.1500000000005,2802.93,LOSS,PULLBACK,-6.7400000000002365,-1.0,2809.67,2802.93,6.7400000000002365,2810.93,2757.539902364129
SHORT,2025-02-03 04:35:00,2025-02-03 04:40:00,2025-02-03 07:25:00,2775.9,2784.67,2758.36,2784.67,LOSS,PULLBACK,-8.769999999999982,-1.0,2784.67,2775.9,8.769999999999982,2774.87,2760.422441325502
LONG,2025-02-04 14:30:00,2025-02-04 14:35:00,2025-02-04 15:20:00,2820.03,2814.32,2831.4500000000003,2831.4500000000003,WIN,PULLBACK,11.420000000000073,2.0,2820.03,2814.32,5.710000000000036,2820.34,2774.575032418827
SHORT,2025-02-05 03:30:00,2025-02-05 03:45:00,2025-02-05 04:05:00,2842.52,2849.01,2829.5399999999995,2849.01,LOSS,PULLBACK,-6.4900000000002365,-1.0,2849.01,2842.52,6.4900000000002365,2842.17,2782.126333710162
SHORT,2025-02-05 09:05:00,2025-02-05 09:10:00,2025-02-05 09:55:00,2855.48,2861.87,2842.7000000000003,2861.87,LOSS,PULLBACK,-6.389999999999873,-1.0,2861.87,2855.48,6.389999999999873,2855.16,2786.481029178135
SHORT,2025-02-05 15:30:00,2025-02-05 15:35:00,2025-02-05 16:45:00,2864.82,2870.87,2852.7200000000007,2870.87,LOSS,PULLBACK,-6.049999999999727,-1.0,2870.87,2864.82,6.049999999999727,2862.56,2791.207441888912
LONG,2025-02-06 14:00:00,2025-02-06 14:10:00,2025-02-06 15:45:00,2867.33,2858.3,2885.3899999999994,2858.3,LOSS,PULLBACK,-9.029999999999745,-1.0,2867.33,2858.3,9.029999999999745,2869.34,2806.0505832126164
SHORT,2025-02-06 15:50:00,2025-02-06 16:15:00,2025-02-06 17:00:00,2858.21,2866.94,2840.75,2840.75,WIN,PULLBACK,17.460000000000036,2.0,2866.94,2858.21,8.730000000000018,2857.6,2806.5544580065207
SHORT,2025-02-07 15:15:00,2025-02-07 15:20:00,2025-02-07 15:30:00,2861.28,2867.0,2849.8400000000006,2867.0,LOSS,PULLBACK,-5.7199999999998,-1.0,2867.0,2861.28,5.7199999999998,2860.71,2817.624202552985
LONG,2025-02-10 15:15:00,2025-02-10 15:20:00,2025-02-10 15:40:00,2907.0,2901.26,2918.4799999999996,2901.26,LOSS,PULLBACK,-5.739999999999782,-1.0,2907.0,2901.26,5.739999999999782,2908.91,2830.7886993565476
SHORT,2025-02-10 16:00:00,2025-02-10 16:10:00,2025-02-10 17:15:00,2899.79,2910.83,2877.71,2910.83,LOSS,PULLBACK,-11.039999999999964,-1.0,2910.83,2899.79,11.039999999999964,2896.81,2831.5640356813583
LONG,2025-02-11 02:45:00,2025-02-11 02:50:00,2025-02-11 03:15:00,2921.5,2916.42,2931.66,2931.66,WIN,PULLBACK,10.159999999999854,2.0,2921.5,2916.42,5.079999999999927,2921.89,2838.223849667904
LONG,2025-02-11 03:50:00,2025-02-11 04:30:00,2025-02-11 04:35:00,2932.36,2919.62,2957.8400000000006,2919.62,LOSS,PULLBACK,-12.740000000000236,-1.0,2932.36,2919.62,12.740000000000236,2935.49,2839.176348676184
LONG,2025-02-11 07:30:00,2025-02-11 07:35:00,2025-02-11 09:00:00,2919.79,2914.64,2930.09,2914.64,LOSS,PULLBACK,-5.150000000000091,-1.0,2919.79,2914.64,5.150000000000091,2920.81,2842.3220454669645
SHORT,2025-02-11 14:45:00,2025-02-11 15:45:00,2025-02-11 18:15:00,2897.96,2906.69,2880.5,2906.69,LOSS,PULLBACK,-8.730000000000018,-1.0,2906.69,2897.96,8.730000000000018,2896.7,2846.576335775697
SHORT,2025-02-12 02:30:00,2025-02-12 02:35:00,2025-02-12 03:30:00,2895.18,2900.82,2883.899999999999,2883.899999999999,WIN,PULLBACK,11.280000000000655,2.0,2900.82,2895.18,5.640000000000327,2895.15,2852.117676208306
SHORT,2025-02-12 15:15:00,2025-02-12 15:20:00,2025-02-12 16:00:00,2876.71,2885.84,2858.45,2885.84,LOSS,PULLBACK,-9.13000000000011,-1.0,2885.84,2876.71,9.13000000000011,2874.21,2856.4574016261067
LONG,2025-02-14 12:30:00,2025-02-14 12:35:00,2025-02-14 13:10:00,2939.65,2934.1,2950.7500000000005,2934.1,LOSS,PULLBACK,-5.550000000000182,-1.0,2939.65,2934.1,5.550000000000182,2939.74,2878.2286424341746
SHORT,2025-02-14 14:40:00,2025-02-14 14:45:00,2025-02-14 15:40:00,2929.27,2934.41,2918.9900000000002,2918.9900000000002,WIN,PULLBACK,10.279999999999745,2.0,2934.41,2929.27,5.139999999999873,2929.06,2879.272981090462
SHORT,2025-02-14 17:10:00,2025-02-14 17:15:00,2025-02-14 18:45:00,2915.65,2928.52,2889.9100000000003,2889.9100000000003,WIN,PULLBACK,25.73999999999978,2.0,2928.52,2915.65,12.86999999999989,2914.42,2880.311674752708
SHORT,2025-02-17 01:30:00,2025-02-17 01:35:00,2025-02-17 03:30:00,2879.95,2893.89,2852.0699999999997,2893.89,LOSS,PULLBACK,-13.940000000000055,-1.0,2893.89,2879.95,13.940000000000055,2879.77,2880.609449999294
SHORT,2025-02-17 10:35:00,2025-02-17 10:40:00,2025-02-17 11:00:00,2898.19,2903.6,2887.3700000000003,2903.6,LOSS,PULLBACK,-5.4099999999998545,-1.0,2903.6,2898.19,5.4099999999998545,2897.22,2882.052268972988
