EntryTime,Type,EntryPrice,SL,TP,Risk,WindowType,WindowHigh,WindowLow,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Is_Consolidating,Is_Tight_Range,Consolidation_Score,Trend_Score,EMA_9_Above_21,EMA_21_Above_50,Price_Above_EMA200_1H,ExitTime,ExitPrice,P&L,R_Multiple,Status
2025-02-12 15:25:00,SELL,2877.71,2893.86,2845.41,16.15000000000009,1000,2893.86,2888.51,2879.708540311485,2881.376279063061,2883.692504448089,2856.4574016261067,3.3431447249294894,0.11617378835704394,1.4043802633113476,0,0,0.0,0.3333333333333333,0,0,1,2025-02-12 16:10:00,2893.86,-16.15000000000009,-1.0,SL_HIT
2025-02-12 16:50:00,SELL,2890.82,2898.0,2876.4600000000005,7.179999999999836,1630,2898.0,2892.43,2891.74408151043,2887.8927542207043,2885.6367539305807,2856.8346414109214,4.234910367842587,0.14649512483802474,0.848732386534696,0,0,0.0,1.0,1,1,1,2025-02-12 18:45:00,2898.0,-7.179999999999836,-1.0,SL_HIT
2025-02-13 03:20:00,SELL,2902.15,2907.08,2892.2900000000004,4.929999999999836,0300,2907.08,2903.5,2904.82974201819,2905.114195812091,2903.6715194336266,2861.1663480240773,1.9966546545867727,0.06879915423347424,1.2646258591776152,0,0,0.0,0.6666666666666666,0,1,1,2025-02-13 03:55:00,2907.08,-4.929999999999836,-1.0,SL_HIT
2025-02-13 12:45:00,BUY,2919.16,2910.53,2936.419999999999,8.629999999999654,1000,2918.1,2910.53,2917.1475739119674,2916.047661082175,2915.3000495925635,2865.818171775171,2.053851801300904,0.07035763032176737,0.9245640983363032,0,1,0.5,1.0,1,1,1,2025-02-13 15:30:00,2910.53,-8.629999999999654,-1.0,SL_HIT
2025-02-13 16:45:00,BUY,2916.51,2907.91,2933.710000000001,8.600000000000364,1630,2916.47,2907.91,2913.0608339786713,2913.1596785127376,2914.385457606891,2867.738634550158,3.3383459024241784,0.11446372213447505,1.0353729530021116,0,0,0.0,0.3333333333333333,0,0,1,2025-02-14 03:25:00,2933.710000000001,17.200000000000728,2.0,TP_HIT
2025-02-14 04:15:00,SELL,2927.3,2933.5,2914.9000000000005,6.199999999999818,0300,2933.5,2927.89,2929.075975700032,2929.656556747518,2928.920747505834,2873.74205472227,1.847187855157843,0.06310210279635989,1.1691133221423615,0,0,0.0,0.6666666666666666,0,1,1,2025-02-14 08:25:00,2933.5,-6.199999999999818,-1.0,SL_HIT
2025-02-14 10:15:00,BUY,2937.21,2930.88,2949.87,6.329999999999927,1000,2936.18,2930.88,2934.472768518549,2933.539286525287,2931.888201563753,2877.0717416980146,2.1000503454055206,0.07149813412747201,1.1148904463717488,0,0,0.0,1.0,1,1,1,2025-02-14 13:45:00,2930.88,-6.329999999999927,-1.0,SL_HIT
2025-02-14 16:50:00,SELL,2921.39,2928.52,2907.1299999999997,7.130000000000109,1630,2928.52,2921.6,2922.8769758270555,2924.2540462697852,2927.5195010950047,2880.094807162283,4.116398289658982,0.14090546930259168,1.0350867341413361,0,0,0.0,0.3333333333333333,0,0,1,2025-02-14 17:20:00,2907.1299999999997,14.260000000000218,2.0,TP_HIT
2025-02-17 03:25:00,BUY,2890.5,2882.11,2907.2799999999997,8.389999999999873,0300,2889.08,2882.11,2887.5047255420845,2886.0073252617867,2885.667528330906,2880.7844912111595,2.8191841979141907,0.0975327520468497,0.9310967956174091,0,0,0.0,1.0,1,1,1,2025-02-18 05:05:00,2907.2799999999997,16.779999999999745,2.0,TP_HIT
2025-02-18 05:10:00,BUY,2908.65,2894.86,2936.23,13.789999999999964,0300,2899.99,2894.86,2904.216591444378,2901.371642035938,2899.5877470391115,2884.756366674737,2.282750689176866,0.07848144978518783,1.1865223103915374,0,0,0.0,1.0,1,1,1,2025-02-18 21:45:00,2936.23,27.579999999999927,2.0,TP_HIT
