feature,importance
WindowID_2025-07-23_1000,0.0002793259801384903
WindowID_2025-01-17_1000,0.00027663366626866744
WindowID_2025-01-02_1630,0.0002749530286925702
WindowID_2025-05-21_0300,0.0002746826134260415
WindowID_2025-07-28_0300,0.00027467610514341157
WindowID_2025-10-13_0300,0.000274411544016778
WindowID_2025-10-15_0300,0.0002743641195589922
WindowID_2025-10-21_1000,0.0002735861509238192
WindowID_2025-04-03_1000,0.00027321737700842147
WindowID_2025-02-20_1000,0.0002726353220760677
WindowID_2025-05-15_0300,0.0002722868749733603
WindowID_2025-05-22_1000,0.0002721305734505915
WindowID_2025-08-01_1000,0.0002696517012693642
WindowID_2025-01-07_1000,0.0002681905324041345
WindowID_2025-01-30_0300,0.00026694970715232676
WindowID_2025-08-05_1000,0.00026580356395526357
WindowID_2025-01-03_1000,0.00026397809238858116
WindowID_2025-09-22_1000,0.0002633568390560949
WindowID_2025-06-03_1000,0.0002620082809883063
WindowID_2025-10-06_0300,0.0002603195965548504
WindowID_2025-06-27_0300,0.0002599261032727944
WindowID_2025-06-20_0300,0.00025990245025211403
WindowID_2025-09-26_0300,0.00025678278975836856
WindowID_2025-10-15_1000,0.00025605488072117185
WindowID_2025-03-12_1000,0.0002537404687897285
WindowID_2025-10-16_1630,0.0002521295984085938
WindowID_2025-02-05_1000,0.0002515742509224902
WindowID_2025-09-29_1630,0.00024996285814217966
WindowID_2025-01-09_1000,0.00024808300499450363
WindowID_2025-02-04_0300,0.00024654368208224816
WindowID_2025-06-04_0300,0.0002459488175000823
WindowID_2025-06-19_1000,0.0002448714462598329
WindowID_2025-07-01_1000,0.0002438829382490063
WindowID_2025-01-15_1630,0.00024295615692362008
WindowID_2025-01-29_1000,0.0002422766729843283
WindowID_2025-10-16_1000,0.0002410911038950028
WindowID_2025-10-31_0300,0.00024060416874099297
WindowID_2025-10-24_1000,0.00024058721817078662
WindowID_2025-03-31_0300,0.00023999126715061036
WindowID_2025-01-10_1000,0.00023949591841129363
WindowID_2025-10-03_1000,0.00023899964777549776
WindowID_2025-06-10_1000,0.0002360798984281661
WindowID_2025-10-10_1630,0.0002359026334530745
WindowID_2025-07-09_1000,0.0002352780616825854
WindowID_2025-07-22_0300,0.00023467199839262998
WindowID_2025-09-23_1630,0.00023354643626403496
WindowID_2025-03-24_0300,0.00023336520388717122
WindowID_2025-02-06_1630,0.0002317282794450484
WindowID_2025-06-30_0300,0.00023155158788576246
WindowID_2025-07-29_0300,0.00023028888196035998
WindowID_2025-01-23_1000,0.00022881113333389223
WindowID_2025-09-05_1630,0.00022819141719150154
WindowID_2025-10-23_1000,0.00022660491301796948
WindowID_2025-08-26_1630,0.00022562882208347737
WindowID_2025-05-29_0300,0.0002256011285342634
WindowID_2024-12-02_1000,0.0002254147788098783
WindowID_2025-04-07_1630,0.00022380979901851257
WindowID_2025-02-18_0300,0.00022259608048899552
WindowID_2025-09-01_1000,0.00022177009825915912
WindowID_2025-03-20_0300,0.00022107142327179396
WindowID_2025-02-26_1000,0.00021972791262331702
WindowID_2025-07-10_0300,0.00021944010183126009
WindowID_2025-08-29_1000,0.00021889011308704804
WindowID_2025-05-09_0300,0.00021888795103379552
WindowID_2025-07-01_1630,0.00021875455983874802
WindowID_2025-10-09_0300,0.0002182157770053197
WindowID_2025-10-20_1000,0.0002175225196449083
WindowID_2025-08-08_1630,0.00021427187973189064
WindowID_2025-10-17_1000,0.00021358148982829355
WindowID_2024-12-04_1630,0.0002129097542960034
WindowID_2025-10-17_1630,0.00021278689180560543
WindowID_2024-12-12_0300,0.00021215061408753384
WindowID_2025-02-19_1000,0.00021094753902284186
WindowID_2025-10-01_1630,0.0002105036573095124
WindowID_2025-01-17_0300,0.0002102371056693802
WindowID_2025-08-06_1630,0.00021017096236789276
WindowID_2025-08-27_1000,0.00020988278846846155
WindowID_2025-11-04_1000,0.0002098781187035399
WindowID_2025-08-07_1630,0.00020951633804067662
WindowID_2025-06-18_0300,0.00020821306565166703
WindowID_2025-04-29_1000,0.00020691151595203348
WindowID_2025-07-07_1000,0.00020571729962649073
WindowID_2025-05-08_1000,0.000205340287029411
WindowID_2025-03-21_0300,0.00020532717717202666
WindowID_2025-08-01_1630,0.00020452962208497092
WindowID_2025-01-28_1000,0.0002034315902153062
WindowID_2025-01-08_1630,0.00020335061902681755
WindowID_2025-08-20_1000,0.00020324121837232194
WindowID_2025-11-05_1630,0.00020295722578901035
WindowID_2025-04-08_1630,0.00020289508727392027
WindowID_2025-10-20_0300,0.0002026611035248666
WindowID_2025-08-22_0300,0.0002011129082493108
WindowID_2025-01-13_1000,0.00020055953766560448
WindowID_2025-07-31_0300,0.00020026691238388323
WindowID_2025-09-12_1630,0.00019823319859043983
WindowID_2025-06-16_1630,0.00019693107940925092
WindowID_2025-08-08_1000,0.00019580024953887463
WindowID_2025-09-10_1630,0.00019540051512161873
WindowID_2025-02-18_1000,0.00019531224560615003
WindowID_2025-08-14_0300,0.00019510259267375925
WindowID_2025-08-18_1630,0.00019459388034496897
WindowID_2025-07-29_1000,0.00019336769526872118
WindowID_2025-08-13_1000,0.00019253068502653346
WindowID_2025-02-19_1630,0.00019058132982798304
WindowID_2025-08-11_1630,0.00019039067271402305
WindowID_2025-08-20_0300,0.0001896482293218237
WindowID_2025-10-08_0300,0.00018734788529577425
WindowID_2025-08-12_1000,0.0001861584465188746
WindowID_2025-02-12_1630,0.00018475418244091958
WindowID_2025-01-03_1630,0.00018436034951258183
WindowID_2025-06-30_1630,0.00018426300271902815
WindowID_2025-09-03_1000,0.00018418645200111755
WindowID_2025-01-06_1000,0.00018230971988345988
