WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EntryOffsetRatio,ATR_Ratio_Entry,Trend_Score_Entry,Consolidation_Score_Entry,MaxRetestDepth,MaxMaeRatio,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow,Market,Won
2025-04-10_1000,1000,BREAKOUT,SELL,2025-04-10 10:25:00,2025-04-10 16:25:00,188.569,187.28099999999998,189.213,187.28099999999998,0.6440000000000055,1.288000000000011,2.0,TP_HIT,0.05200000000002092,0.777777777777846,0.23620557927260719,0.5919999999999845,188.917,-0.3480000000000132,2.6891096717177607,1,0.22014721311898905,-0.5878378378378755,1.3386559640221396,0.6666666666666666,0.0,0.0,0.0,188.82833379101393,188.8005782614544,188.690465916674,188.1600780307899,189.77986886322105,0.22014721311898905,0.11290442529236666,1.3386559640221396,0.0,0.3333333333333333,0,0,1,0,1000,189.213,188.621,GBPJPY,1
2025-04-10_1630,1630,BREAKOUT,SELL,2025-04-10 17:15:00,2025-04-10 17:25:00,186.986,187.366,187.366,186.22599999999994,0.3800000000000239,-0.3800000000000239,-1.0,SL_HIT,0.05200000000002092,0.722602739726067,0.22654972679891255,0.32800000000000296,187.202,-0.21600000000000819,1.4290059690387324,0,0.2295301818932519,-0.6585365853658727,1.0752045261095506,0.0,0.0,0.0,0.0,187.22309797374902,187.42823292497016,187.7249481192337,188.02102934686155,189.65140029147514,0.2295301818932519,0.11666496814471741,1.0752045261095506,0.0,0.0,0,0,0,0,1630,187.366,187.038,GBPJPY,0
2025-04-11_0300,0300,BREAKOUT,SELL,2025-04-11 03:20:00,2025-04-11 04:15:00,186.267,186.775,186.775,185.25099999999998,0.5080000000000098,-0.5080000000000098,-1.0,SL_HIT,0.009999999999990905,0.46551724137939204,0.04814637007716673,0.49800000000001887,186.526,-0.25900000000001455,2.397689229845175,0,0.20769997787919164,-0.52008032128515,1.0392941126849695,0.0,0.0,0.0,0.0,186.5443799328316,186.76882054734494,187.03317066949242,187.45463028491093,189.41777384398063,0.20769997787919164,0.11624141778766661,1.0392941126849695,0.0,0.0,0,0,0,0,0300,186.775,186.277,GBPJPY,0
2025-04-11_1000,1000,BREAKOUT,SELL,2025-04-11 10:30:00,2025-04-11 16:35:00,186.59,187.47,187.47,184.83,0.8799999999999955,-0.8799999999999955,-1.0,SL_HIT,0.1670000000000016,0.7561983471073497,0.7108338377244822,0.7129999999999939,187.1135,-0.5234999999999843,3.034877402979321,0,0.23493535498338286,-0.7342215988779647,1.1426985920755475,0.3333333333333333,0.0,0.0,0.0,186.87555171901772,186.88220937769754,186.79227749384196,187.02510512817852,189.23452466705209,0.23493535498338286,0.12614812686287616,1.1426985920755475,0.0,0.3333333333333333,0,0,0,0,1000,187.47,186.757,GBPJPY,0
2025-04-11_1630,1630,BREAKOUT,BUY,2025-04-11 19:20:00,2025-04-14 04:20:00,187.689,186.64,186.64,189.787,1.0490000000000066,-1.0490000000000066,-1.0,SL_HIT,0.0049999999999954525,0.34328358208945725,0.026766392554911627,1.0440000000000111,187.16199999999998,0.5270000000000152,5.588822765470691,1,0.18680141486148658,0.5047892720306606,0.8583170946887668,0.6666666666666666,0.0,0.0,0.0,187.4430249552723,187.34414538096718,187.1972515340274,187.0190968718749,189.05184047601387,0.18680141486148658,0.09661365437677599,0.8583170946887668,0.0,0.6666666666666666,0,0,1,0,1630,187.684,186.64,GBPJPY,0
2025-04-14_0300,0300,BREAKOUT,SELL,2025-04-14 04:25:00,2025-04-14 10:45:00,186.646,188.065,188.065,183.80799999999996,1.4190000000000111,-1.4190000000000111,-1.0,SL_HIT,1.0930000000000177,0.599388379204977,5.24857725729978,0.3259999999999934,187.902,-1.2560000000000002,1.5654493923876174,0,0.20824691081375646,-3.8527607361963976,1.2456999428874083,0.0,0.0,0.0,0.0,187.09498093441692,187.40373120353945,187.6600550301174,187.5435652821688,188.9317235882022,0.20824691081375646,0.11384282016691072,1.2456999428874083,0.0,0.0,0,0,0,0,0300,188.065,187.739,GBPJPY,0
2025-04-14_1000,1000,BREAKOUT,BUY,2025-04-14 10:50:00,2025-04-23 20:25:00,188.135,190.02099999999996,187.192,190.02099999999996,0.9429999999999836,1.8859999999999673,2.0,TP_HIT,0.4749999999999943,0.5966850828729126,2.41653190279155,0.4679999999999893,187.426,0.7090000000000032,2.380919853697754,1,0.1965626853306922,1.5149572649573064,1.1434202896143353,0.6666666666666666,0.0,0.0,0.0,187.8045243218002,187.65195797234182,187.5435438032684,187.48548246591255,188.85313613341324,0.1965626853306922,0.10126271963689076,1.1434202896143353,0.0,0.6666666666666666,0,0,1,0,1000,187.66,187.192,GBPJPY,1
2025-04-24_0300,0300,BREAKOUT,SELL,2025-04-24 03:50:00,2025-04-24 05:00:00,189.881,189.49499999999998,190.074,189.49499999999998,0.19300000000001205,0.3860000000000241,2.0,TP_HIT,0.016999999999995907,0.7446808510636915,0.1486247829506997,0.17600000000001614,189.986,-0.10499999999998977,1.5387036352548142,1,0.11438200051491396,-0.5965909090907963,1.0742851772026678,1.0,0.5,0.0,0.0,189.9770469129643,189.94873009324058,189.91681724160372,189.56165020090282,188.78526498101394,0.11438200051491396,0.07205283751636334,1.0742851772026678,0.0,1.0,0,0,1,1,0300,190.074,189.898,GBPJPY,1
2025-04-24_1000,1000,BREAKOUT,BUY,2025-04-24 10:20:00,2025-04-24 22:45:00,189.605,190.25299999999996,189.281,190.25299999999996,0.32399999999998386,0.6479999999999677,2.0,TP_HIT,0.02400000000000091,0.7480314960630944,0.19163698931633025,0.29999999999998295,189.43099999999998,0.1740000000000066,2.395462366453901,1,0.12523678276110217,0.5800000000000549,1.175669367774431,0.3333333333333333,0.0,0.0,0.0,189.4899374386736,189.4954950555623,189.53228272778938,189.55446889229398,188.83458902217606,0.12523678276110217,0.06430147858565015,1.175669367774431,0.0,0.3333333333333333,0,0,0,1,1000,189.581,189.281,GBPJPY,1
2025-04-25_0300,0300,BREAKOUT,BUY,2025-04-25 03:35:00,2025-04-25 03:50:00,190.463,190.305,190.305,190.77899999999997,0.15799999999998704,-0.15799999999998704,-1.0,SL_HIT,0.03899999999998727,0.8524590163932211,0.4849097556215867,0.11899999999999977,190.36450000000002,0.09849999999997294,1.4795964338201935,1,0.08042733631950692,0.827731092436749,1.0127779687283023,1.0,0.5,0.0,0.0,190.39419988119357,190.36870170273153,190.30628476635255,190.01327618244036,189.0126171187405,0.08042733631950692,0.04038423120144214,1.0127779687283023,0.5,1.0,0,1,1,1,0300,190.424,190.305,GBPJPY,0
