WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow,Mode,Market,RSI_14,RSI_21,StochK_14,StochD_14,ATR14,BodyPct,UpperWickPct,LowerWickPct,CandleLabel,RSI_Diff
2025-02-20_1630,1630,BREAKOUT,BUY,2025-02-20 18:20:00,2025-02-21 03:50:00,2942.41,2929.32,2929.32,2968.5899999999992,13.08999999999969,-13.08999999999969,-1.0,SL_HIT,2.5,0.9439528023598638,0.8980254672693072,10.58999999999969,2934.615,7.795000000000073,3.8040358793526745,1,2.783885414298924,2938.867950919894,2937.7381633468312,2939.25118796792,2941.770374762324,2906.832094933279,2.783885414298924,0.0946124236356906,0.753469502180317,0.5,0.6666666666666666,0,1,1,1,1630,2939.91,2929.32,baseline_breakout,XAUUSD5,60.16421137146996,55.26656346993615,98.00210304942104,92.77249324213335,2.7838854142989238,0.9439528023598638,0.056047197640136194,0.0,marubozu,4.897647901533809
2025-02-21_0300,300,BREAKOUT,SELL,2025-02-21 03:55:00,2025-02-24 10:50:00,2928.69,2946.87,2946.87,2892.3300000000004,18.17999999999984,-18.17999999999984,-1.0,SL_HIT,10.960000000000036,0.5249500998003981,2.8799027805512494,7.2199999999998,2943.26,-14.570000000000164,1.897162233173301,0,3.8056840230912776,2936.4678131547225,2939.259040896195,2939.9270858990467,2940.674622797696,2909.2570346238563,3.8056840230912776,0.1299449249695692,1.7804673362403312,0.0,0.3333333333333333,0,0,0,1,300,2946.87,2939.65,baseline_breakout,XAUUSD5,26.371035684219592,31.03176292967838,8.131868131867732,9.12820512820457,3.8056840230912776,0.5249500998003981,0.11177644710577266,0.36327345309382925,normal,-4.660727245458787
2025-02-24_1000,1000,BREAKOUT,BUY,2025-02-24 10:55:00,2025-02-24 12:20:00,2946.37,2942.23,2942.23,2954.65,4.139999999999873,-4.139999999999873,-1.0,SL_HIT,1.5399999999999636,0.2230769230769028,0.5809642222844356,2.599999999999909,2943.53,2.840000000000145,0.9808486869737112,1,2.650765642580296,2943.4895300272383,2942.4090421829046,2940.971086552718,2937.592918284924,2915.9634292331057,2.650765642580296,0.0899671678227885,1.3966827494529557,0.0,1.0,0,0,1,1,1000,2944.83,2942.23,baseline_breakout,XAUUSD5,63.36040482142305,61.083753063873296,77.53554502369714,79.93100599145346,2.650765642580296,0.22307692307690288,0.6884615384615486,0.08846153846154856,normal,2.2766517575497573
2025-02-24_1630,1630,BREAKOUT,SELL,2025-02-24 17:00:00,2025-02-24 19:00:00,2933.47,2943.76,2943.76,2912.889999999999,10.290000000000418,-10.290000000000418,-1.0,SL_HIT,1.25,0.8427152317881086,0.2909698770555474,9.040000000000418,2939.24,-5.769999999999982,2.104294150865816,0,4.295977345315954,2940.575932265004,2944.098760362402,2945.1564821018987,2941.536957571473,2917.843363125774,4.295977345315954,0.1464469500392352,1.4352127674459578,0.0,0.3333333333333333,0,0,0,1,1630,2943.76,2934.72,baseline_breakout,XAUUSD5,31.934445850188865,35.610558884331454,2.9487179487162845,18.10002310002328,4.295977345315954,0.8427152317881086,0.04304635761593044,0.11423841059596092,bearish_full,-3.6761130341425883
2025-02-25_0300,300,BREAKOUT,SELL,2025-02-25 03:35:00,2025-02-25 09:50:00,2945.72,2932.139999999999,2952.51,2932.139999999999,6.790000000000418,13.580000000000837,2.0,TP_HIT,3.1200000000003456,0.93931398416898,1.8628164875908075,3.6700000000000728,2950.675,-4.955000000000382,2.1911975991851413,0,1.674883178662146,2949.191183397488,2949.7149442169075,2949.6520879026657,2945.9092497955858,2920.4832190902034,1.674883178662146,0.0568581935371368,1.28843485303882,0.0,0.6666666666666666,0,0,0,1,300,2952.51,2948.84,baseline_breakout,XAUUSD5,29.522061513469822,35.788340234202906,0.29368575624053794,24.708487152393047,1.674883178662146,0.93931398416898,0.055408970976143446,0.0052770448548765175,marubozu,-6.266278720733084
2025-02-25_1000,1000,BREAKOUT,BUY,2025-02-25 10:25:00,2025-02-25 14:30:00,2934.71,2929.52,2929.52,2945.09,5.190000000000055,-5.190000000000055,-1.0,SL_HIT,0.9800000000000182,0.7683397683399513,0.4490460508696653,4.210000000000036,2931.625,3.0850000000000364,1.9290651777155845,0,2.1824042280342,2933.502011214243,2934.58148850838,2936.9951820608417,2942.094391040885,2921.724031790757,2.1824042280342,0.0743652431768113,1.116955462821908,0.0,0.3333333333333333,0,0,0,1,1000,2933.73,2929.52,baseline_breakout,XAUUSD5,48.40420583591852,45.664186153310595,55.8665231431655,39.50972888898847,2.1824042280342,0.7683397683399513,0.05405405405401135,0.17760617760603728,bullish_full,2.7400196826079224
2025-02-25_1630,1630,BREAKOUT,SELL,2025-02-25 16:45:00,2025-02-25 17:15:00,2937.08,2921.5599999999995,2944.84,2921.5599999999995,7.760000000000218,15.520000000000437,2.0,TP_HIT,1.389999999999873,0.4274611398964328,0.4773070009810918,6.370000000000346,2941.655,-4.574999999999818,2.187370932553956,0,2.912171824722379,2939.5083748895786,2937.695110508332,2936.779846579176,2939.4725515520154,2922.5326175692608,2.912171824722379,0.0991519408637959,0.9887900320282754,0.0,1.0,0,0,0,1,1630,2944.84,2938.47,baseline_breakout,XAUUSD5,49.61026318042702,50.51924277905058,37.52012882447526,60.88508250820352,2.912171824722379,0.42746113989643286,0.3056994818652685,0.2668393782382986,normal,-0.90897959862356
2025-02-26_0300,300,BREAKOUT,BUY,2025-02-26 03:20:00,2025-02-26 03:45:00,2929.86,2922.57,2922.57,2944.44,7.289999999999964,-7.289999999999964,-1.0,SL_HIT,4.120000000000346,1.0,1.715402546193531,3.169999999999618,2924.155,5.705000000000382,1.3198606969496072,1,2.401768616435019,2925.2178895683464,2922.9890037337045,2919.1621336248263,2921.9134658939543,2921.5360039447173,2.401768616435019,0.0819755420543991,1.4052294678927124,0.0,1.0,0,0,1,1,300,2925.74,2922.57,baseline_breakout,XAUUSD5,77.38533413109039,73.90815201169967,100.0,78.93148014213476,2.401768616435019,1.0,0.0,0.0,marubozu,3.4771821193907186
2025-02-26_1000,1000,BREAKOUT,SELL,2025-02-26 10:20:00,2025-02-26 10:50:00,2912.16,2916.01,2916.01,2904.459999999999,3.850000000000364,-3.850000000000364,-1.0,SL_HIT,0.8900000000003274,0.5140186915889856,0.4093837938438708,2.9600000000000364,2914.53,-2.3700000000003456,1.3615461008735132,0,2.1739991015368627,2913.466837524913,2912.979050684621,2913.7759814205942,2918.115628232824,2921.128303864264,2.1739991015368627,0.0746524607692181,1.0270594728297573,0.0,0.3333333333333333,0,0,0,0,1000,2916.01,2913.05,baseline_breakout,XAUUSD5,46.42695678284278,46.62335325055196,32.39074550128428,49.054031061083215,2.1739991015368627,0.5140186915889856,0.21028037383170323,0.27570093457931116,normal,-0.19639646770917807
2025-02-26_1630,1630,BREAKOUT,BUY,2025-02-26 16:45:00,2025-02-27 07:35:00,2902.14,2890.77,2890.77,2924.88,11.36999999999989,-11.36999999999989,-1.0,SL_HIT,5.429999999999836,0.8046511627906721,1.1637968640055578,5.940000000000055,2893.74,8.400000000000091,1.2731037517851354,0,4.66576270132818,2897.8236904017745,2902.10449234372,2907.2243621687103,2913.879483243621,2920.4814155558115,4.66576270132818,0.1607697320366412,1.5553129316516103,0.0,0.0,0,0,0,0,1630,2896.71,2890.77,baseline_breakout,XAUUSD5,47.06107831781904,44.03661144078415,52.71210013908115,26.169285457890947,4.66576270132818,0.8046511627906721,0.1953488372093279,0.0,bullish_full,3.0244668770348895
