WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EntryOffsetRatio,ATR_Ratio_Entry,Trend_Score_Entry,Consolidation_Score_Entry,MaxRetestDepth,MaxMaeRatio,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow,Market,Hour
2025-06-06_1000,1000,PULLBACK,SELL,2025-06-06 10:30:00,2025-06-06 12:10:00,143.949,144.129,144.129,143.58900000000006,0.1799999999999784,-0.1799999999999784,-1.0,SL_HIT,0.038000000000010914,0.5747126436783637,0.522706043962427,0.1799999999999784,144.039,-0.08999999999997499,2.4759759977157514,1,0.07269860457695877,,1.1701559433104651,,,,,143.9687043829872,143.96550986536485,143.90431875784128,143.67978503555025,143.6549657167535,0.06939584077113832,0.048218009026575914,1.0724158682056597,0.0,1.0,0,0,1,1,1000,144.129,143.949,USDJPY,10
2025-06-06_1630,1630,PULLBACK,SELL,2025-06-06 17:35:00,2025-06-06 17:45:00,144.733,144.952,144.952,144.29500000000002,0.2189999999999941,-0.2189999999999941,-1.0,SL_HIT,0.0730000000000075,0.7121212121213246,0.5014253878863784,0.2189999999999941,144.8425,-0.10949999999999704,1.5042761636589397,1,0.14558496989496095,,0.97629091926917,,,,,144.79366680597056,144.738146836282,144.53114386668284,144.06193763581004,143.7060278980904,0.1323549329433282,0.09142933431655283,0.9119328102167038,0.0,1.0,0,0,1,1,1630,144.952,144.733,USDJPY,17
2025-06-09_0300,0300,PULLBACK,BUY,2025-06-09 03:35:00,2025-06-09 03:55:00,144.688,144.92399999999998,144.57,144.92399999999998,0.117999999999995,0.23599999999999,2.0,TP_HIT,0.06499999999999773,0.9509803921566305,1.1164798850178672,0.117999999999995,144.629,0.0589999999999975,2.026840406647805,1,0.05821869329867732,,1.5980572969009754,,,,,144.70605660069134,144.69772187142368,144.72006650742057,144.56270312472208,143.81743470616638,0.06430423899859167,0.04444430244917695,1.4928567277182763,0.0,0.6666666666666666,0,0,1,1,0300,144.688,144.57,USDJPY,3
2025-06-09_1000,1000,PULLBACK,SELL,2025-06-09 10:30:00,2025-06-09 12:10:00,144.193,144.00300000000001,144.288,144.00300000000001,0.09499999999999886,0.18999999999999773,2.0,TP_HIT,0.0020000000000095497,0.6250000000000683,0.030421480184104427,0.09499999999999886,144.2405,-0.04749999999998522,1.4450203087380433,0,0.0657430206520514,,1.1585306914541977,,,,,144.22593881571697,144.26855213957984,144.34868597533017,144.47535069330112,143.85491199449444,0.06653586884531565,0.0461429791915917,1.147642803457638,0.0,0.3333333333333333,0,0,0,1,1000,144.288,144.193,USDJPY,10
2025-06-09_1630,1630,PULLBACK,SELL,2025-06-09 17:20:00,2025-06-09 17:30:00,144.587,144.717,144.717,144.32699999999994,0.13000000000002387,-0.13000000000002387,-1.0,SL_HIT,0.03499999999999659,0.4536082474227559,0.445929906626961,0.13000000000002387,144.652,-0.06499999999999773,1.6563110817577493,1,0.07848767144760163,,1.1443383314147786,,,,,144.60604068066442,144.5983627664127,144.4901394146017,144.40914942834857,143.89180746218793,0.0720818509984241,0.04985534229601479,1.0301304400982865,0.5,1.0,0,1,1,1,1630,144.717,144.587,USDJPY,17
2025-06-10_0300,0300,PULLBACK,SELL,2025-06-10 03:30:00,2025-06-10 03:50:00,144.448,144.632,144.632,144.08,0.1839999999999975,-0.1839999999999975,-1.0,SL_HIT,0.03900000000001569,0.7241379310342462,0.6729997115502024,0.1839999999999975,144.54000000000002,-0.09200000000001296,3.1751781262868137,0,0.0579495047779177,,1.4241031262564872,,,,,144.47595046034797,144.51614902373896,144.53282316914607,144.48461393852998,143.94958968146904,0.06076207247763616,0.0420600647060784,1.3834245328057624,0.0,0.3333333333333333,0,0,0,1,0300,144.632,144.448,USDJPY,3
2025-06-10_1000,1000,BREAKOUT,BUY,2025-06-10 10:20:00,2025-06-10 10:45:00,144.781,144.686,144.6328,145.0774,0.14820000000000846,-0.09499999999999886,-0.6410256410255968,FILTER_EXIT,0.0030000000000143245,0.2769230769230971,0.032822557037263195,0.24399999999999977,144.656,0.125,2.669567972351324,1,0.09140055714149412,0.5122950819672136,1.0184695817762792,0.6666666666666666,0.0,1.646423751686814,0.8906882591092946,144.66036518043003,144.6346470607801,144.6858316916051,144.63576437146494,144.00626534755082,0.09140055714149412,0.05710806322461074,1.0184695817762792,0.0,0.6666666666666666,0,0,1,1,1000,144.778,144.534,USDJPY,10
2025-06-11_0300,0300,PULLBACK,SELL,2025-06-11 03:25:00,2025-06-11 04:10:00,144.804,144.953,144.953,144.506,0.1490000000000009,-0.1490000000000009,-1.0,SL_HIT,0.01300000000000523,0.43461538461535054,0.11242179823252405,0.1490000000000009,144.8785,-0.07450000000000045,1.2885267643568805,0,0.11563593719713586,,1.4240687780755286,,,,,144.8302102176613,144.8619568472138,144.87363192910908,144.80702164380244,144.12905589082368,0.11555765949473697,0.07980501346321614,1.2873443425068734,0.0,0.3333333333333333,0,0,0,1,0300,144.953,144.804,USDJPY,3
2025-06-11_1000,1000,PULLBACK,SELL,2025-06-11 11:15:00,2025-06-11 14:20:00,145.082,145.191,145.191,144.86399999999998,0.10900000000000887,-0.10900000000000887,-1.0,SL_HIT,0.03499999999999659,0.6610169491528363,0.6344413327290492,0.10900000000000887,145.1365,-0.054500000000018645,1.975831579070821,1,0.05516664535307638,,0.9258238505814894,,,,,145.08976588945927,145.10017792992247,145.0717623581044,144.94318958288468,144.19821792164166,0.05164072473187255,0.03559858044164821,0.8861319839407011,0.0,0.6666666666666666,0,0,1,1,1000,145.191,145.082,USDJPY,11
2025-06-11_1630,1630,PULLBACK,SELL,2025-06-11 17:15:00,2025-06-11 18:55:00,144.898,144.46399999999997,145.115,144.46399999999997,0.21700000000001296,0.4340000000000259,2.0,TP_HIT,0.015999999999991132,0.6342412451361064,0.10657198285126984,0.21700000000001296,145.00650000000002,-0.10850000000002069,1.4453825174212347,0,0.15013326741157174,,0.9890769526178359,,,,,144.93584960163713,144.92459876970764,144.96888282822383,144.9745915931624,144.24515226200603,0.12764645585280884,0.08808245813314439,0.8453580749119178,0.0,0.6666666666666666,0,0,0,1,1630,145.115,144.898,USDJPY,17
2025-06-12_0300,0300,PULLBACK,SELL,2025-06-12 05:10:00,2025-06-12 12:50:00,144.094,143.60999999999996,144.336,143.60999999999996,0.24200000000001864,0.4840000000000373,2.0,TP_HIT,0.19200000000000728,0.2395833333333549,1.7969974130308102,0.24200000000001864,144.215,-0.12100000000000932,2.2649654893410056,0,0.10684489504978234,,1.1068073962552385,,,,,143.97555521180098,143.99306198762451,144.12240548444873,144.48309849178162,144.25541526055898,0.08664863303737529,0.06014676530755875,0.8897232474400575,0.0,0.0,0,0,0,0,0300,144.336,144.094,USDJPY,5
2025-06-12_1630,1630,PULLBACK,BUY,2025-06-12 17:00:00,2025-06-13 02:55:00,143.449,143.191,143.191,143.96500000000003,0.2580000000000098,-0.2580000000000098,-1.0,SL_HIT,0.020999999999986585,0.6312500000000077,0.17173758861531424,0.2580000000000098,143.32,0.1290000000000191,2.109918945846717,0,0.12227957879987356,,1.0974434217807503,,,,,143.42463377038825,143.42398842722065,143.50808077825735,143.86639696017718,144.19054376287696,0.11929443918745902,0.08309553240560523,1.043908797757105,0.0,0.3333333333333333,0,0,0,0,1630,143.449,143.191,USDJPY,17
2025-06-13_1000,1000,PULLBACK,BUY,2025-06-13 10:30:00,2025-06-13 12:20:00,143.682,143.99399999999994,143.526,143.99399999999994,0.1559999999999775,0.311999999999955,2.0,TP_HIT,0.007000000000005002,0.25,0.06852388497277354,0.1559999999999775,143.60399999999998,0.07800000000000296,1.52710372224907,1,0.10215416132325683,,0.9420085717364743,,,,,143.66466836103393,143.62581725567298,143.55096107504244,143.50166530385283,144.0749970170232,0.0891012422006559,0.06200849191371538,0.8258210151244049,0.5,0.6666666666666666,0,1,1,0,1000,143.682,143.526,USDJPY,10
2025-06-13_1630,1630,PULLBACK,SELL,2025-06-13 17:20:00,2025-06-16 01:10:00,144.173,144.475,144.475,143.56900000000002,0.3019999999999925,-0.3019999999999925,-1.0,SL_HIT,0.04800000000000182,0.7676767676767822,0.5293024147673426,0.3019999999999925,144.324,-0.15100000000001046,3.330194359577655,1,0.0906853977250424,,1.153210946491113,,,,,144.1332108269787,144.1803837484823,144.1587340256807,143.85041285843425,144.07812582543457,0.0963456694887368,0.06685332511448273,1.1549803774536325,0.0,0.6666666666666666,0,0,1,1,1630,144.475,144.173,USDJPY,17
2025-06-16_0300,0300,PULLBACK,SELL,2025-06-16 03:45:00,2025-06-16 08:25:00,144.42,144.06599999999995,144.597,144.06599999999995,0.17700000000002092,0.35400000000004184,2.0,TP_HIT,0.001999999999981128,0.31914893616994255,0.02417936181132613,0.17700000000002092,144.5085,-0.08850000000001046,2.139873520322807,1,0.08271516905976754,,0.8950844936985902,,,,,144.46381957658366,144.47506547299616,144.39180894249637,144.12021252663885,144.0891682893813,0.07616383809378004,0.05271401051581827,0.8354161087422141,0.5,0.6666666666666666,0,1,1,1,0300,144.597,144.42,USDJPY,3
