<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XAUUSD,5,20250912,111500,3639.775,3644.325,3639.765,3644.325,0,0
XAUUSD,5,20250912,112000,3644.045,3645.875,3643.275,3645.715,0,0
XAUUSD,5,20250912,112500,3645.665,3646.375,3644.025,3646.335,0,0
XAUUSD,5,20250912,113000,3645.965,3647.015,3645.095,3645.995,0,0
XAUUSD,5,20250912,113500,3646.005,3646.145,3642.735,3642.975,0,0
XAUUSD,5,20250912,114000,3643.125,3644.545,3642.775,3644.545,0,0
XAUUSD,5,20250912,114500,3644.615,3645.145,3643.925,3644.265,0,0
XAUUSD,5,20250912,115000,3644.115,3646.805,3644.115,3646.805,0,0
XAUUSD,5,20250912,115500,3646.935,3647.005,3645.965,3646.635,0,0
XAUUSD,5,20250912,120000,3646.5,3648.045,3646.425,3647.385,0,0
XAUUSD,5,20250912,120500,3647.445,3647.995,3646.975,3647.275,0,0
XAUUSD,5,20250912,121000,3647.145,3648.185,3646.915,3647.895,0,0
XAUUSD,5,20250912,121500,3647.895,3649.975,3647.525,3649.785,0,0
XAUUSD,5,20250912,122000,3649.845,3651.475,3649.845,3650.725,0,0
XAUUSD,5,20250912,122500,3650.365,3651.175,3650.245,3650.805,0,0
XAUUSD,5,20250912,123000,3650.805,3651.195,3650.125,3650.405,0,0
XAUUSD,5,20250912,123500,3650.375,3651.245,3650.275,3650.275,0,0
XAUUSD,5,20250912,124000,3650.185,3650.335,3649.485,3649.805,0,0
XAUUSD,5,20250912,124500,3649.845,3650.255,3649.185,3650.225,0,0
XAUUSD,5,20250912,125000,3650.045,3652.065,3649.825,3651.575,0,0
XAUUSD,5,20250912,125500,3651.525,3651.655,3650.925,3651.215,0,0
XAUUSD,5,20250912,130000,3651.09,3652.005,3650.125,3650.765,0,0
XAUUSD,5,20250912,130500,3650.685,3650.835,3649.725,3650.805,0,0
XAUUSD,5,20250912,131000,3650.815,3650.815,3649.235,3649.535,0,0
XAUUSD,5,20250912,131500,3650.055,3651.465,3648.765,3650.085,0,0
XAUUSD,5,20250912,132000,3650.085,3650.655,3649.665,3650.115,0,0
XAUUSD,5,20250912,132500,3650.005,3650.005,3647.955,3648.055,0,0
XAUUSD,5,20250912,133000,3648.385,3649.275,3647.645,3647.805,0,0
XAUUSD,5,20250912,133500,3647.645,3649.045,3647.485,3648.075,0,0
XAUUSD,5,20250912,134000,3647.955,3648.345,3647.425,3648.285,0,0
XAUUSD,5,20250912,134500,3648.055,3649.025,3647.575,3647.805,0,0
XAUUSD,5,20250912,135000,3647.715,3649.355,3647.665,3648.215,0,0
XAUUSD,5,20250912,135500,3647.965,3648.155,3646.975,3646.975,0,0
XAUUSD,5,20250912,140000,3646.91,3648.935,3645.385,3645.465,0,0
XAUUSD,5,20250912,140500,3645.705,3646.195,3644.495,3645.755,0,0
XAUUSD,5,20250912,141000,3645.675,3646.145,3644.375,3645.675,0,0
XAUUSD,5,20250912,141500,3646.075,3647.275,3645.455,3646.655,0,0
XAUUSD,5,20250912,142000,3646.805,3646.975,3642.735,3643.275,0,0
XAUUSD,5,20250912,142500,3643.055,3643.325,3640.305,3642.515,0,0
XAUUSD,5,20250912,143000,3642.835,3643.565,3638.655,3639.045,0,0
XAUUSD,5,20250912,143500,3639.385,3641.145,3638.525,3638.525,0,0
XAUUSD,5,20250912,144000,3638.845,3641.985,3638.735,3639.445,0,0
XAUUSD,5,20250912,144500,3639.135,3642.925,3638.615,3642.675,0,0
XAUUSD,5,20250912,145000,3642.825,3645.215,3641.405,3644.015,0,0
XAUUSD,5,20250912,145500,3644.175,3645.915,3644.175,3645.395,0,0
XAUUSD,5,20250912,150000,3645.32,3647.375,3643.49,3647.33,0,0
XAUUSD,5,20250912,150500,3648.505,3649.225,3647.735,3648.365,0,0
XAUUSD,5,20250912,151000,3648.505,3650.055,3648.195,3649.205,0,0
