Local,Open,High,Low,Close,Volume
12.10.2016 08:35:00.000 UTC+03:00,1256.209,1256.308,1255.889,1256.028,0.16405999999999998
12.10.2016 08:40:00.000 UTC+03:00,1256.018,1256.049,1255.52,1255.598,0.17790000000000003
12.10.2016 08:45:00.000 UTC+03:00,1255.578,1255.588,1254.988,1255.069,0.19743000000000002
12.10.2016 08:50:00.000 UTC+03:00,1255.088,1255.179,1254.828,1254.901,0.18371
12.10.2016 08:55:00.000 UTC+03:00,1254.938,1255.438,1254.689,1255.36,0.19837000000000002
12.10.2016 09:00:00.000 UTC+03:00,1255.289,1255.459,1254.641,1255.189,0.18688000000000002
12.10.2016 09:05:00.000 UTC+03:00,1255.189,1255.59,1255.17,1255.529,0.16405
12.10.2016 09:10:00.000 UTC+03:00,1255.52,1255.689,1254.769,1254.789,0.21922
12.10.2016 09:15:00.000 UTC+03:00,1254.769,1255.349,1254.511,1254.568,0.21117999999999998
12.10.2016 09:20:00.000 UTC+03:00,1254.588,1255.389,1254.579,1255.228,0.18028
12.10.2016 09:25:00.000 UTC+03:00,1255.239,1255.268,1254.628,1255.028,0.15982000000000002
12.10.2016 09:30:00.000 UTC+03:00,1255.028,1255.349,1255,1255.248,0.10863
12.10.2016 09:35:00.000 UTC+03:00,1255.249,1255.539,1255.009,1255.128,0.16472
12.10.2016 09:40:00.000 UTC+03:00,1255.118,1255.698,1255.01,1255.64,0.15098
12.10.2016 09:45:00.000 UTC+03:00,1255.658,1255.678,1255.418,1255.449,0.16109
12.10.2016 09:50:00.000 UTC+03:00,1255.469,1255.738,1255.299,1255.538,0.15303
12.10.2016 09:55:00.000 UTC+03:00,1255.548,1255.928,1255.318,1255.731,0.23411
12.10.2016 10:00:00.000 UTC+03:00,1255.811,1255.939,1255.658,1255.758,0.33124
12.10.2016 10:05:00.000 UTC+03:00,1255.758,1256.208,1255.758,1256.192,0.19686
12.10.2016 10:10:00.000 UTC+03:00,1256.198,1256.349,1255.609,1255.778,0.20647
12.10.2016 10:15:00.000 UTC+03:00,1255.758,1255.898,1255.518,1255.828,0.18248
12.10.2016 10:20:00.000 UTC+03:00,1255.849,1255.868,1255.429,1255.569,0.19768000000000002
12.10.2016 10:25:00.000 UTC+03:00,1255.549,1255.748,1255.321,1255.718,0.22688999999999998
12.10.2016 10:30:00.000 UTC+03:00,1255.719,1255.748,1255.228,1255.528,0.26988999999999996
12.10.2016 10:35:00.000 UTC+03:00,1255.558,1255.659,1255.421,1255.579,0.19017
12.10.2016 10:40:00.000 UTC+03:00,1255.569,1255.649,1253.901,1254.119,0.25922
12.10.2016 10:45:00.000 UTC+03:00,1254.138,1254.391,1253.629,1253.748,0.38503
12.10.2016 10:50:00.000 UTC+03:00,1253.768,1254.268,1253.71,1254.208,0.18468
12.10.2016 10:55:00.000 UTC+03:00,1254.218,1255.449,1254.141,1255.358,0.37646
12.10.2016 11:00:00.000 UTC+03:00,1255.379,1255.379,1254.589,1254.679,0.25073999999999996
12.10.2016 11:05:00.000 UTC+03:00,1254.672,1254.699,1254.008,1254.419,0.20817999999999998
12.10.2016 11:10:00.000 UTC+03:00,1254.408,1257.159,1254.408,1256.71,0.30079
12.10.2016 11:15:00.000 UTC+03:00,1256.709,1257.57,1256.509,1256.938,0.34232999999999997
12.10.2016 11:20:00.000 UTC+03:00,1256.958,1257.039,1256.441,1256.708,0.21030000000000001
12.10.2016 11:25:00.000 UTC+03:00,1256.728,1256.839,1256.431,1256.578,0.19386
12.10.2016 11:30:00.000 UTC+03:00,1256.572,1256.6,1256.199,1256.358,0.11602000000000001
12.10.2016 11:35:00.000 UTC+03:00,1256.369,1256.378,1255.742,1256.038,0.16235
12.10.2016 11:40:00.000 UTC+03:00,1256.039,1256.088,1255.639,1255.858,0.13324999999999998
12.10.2016 11:45:00.000 UTC+03:00,1255.839,1255.928,1255.632,1255.899,0.13196
12.10.2016 11:50:00.000 UTC+03:00,1255.899,1256.128,1255.562,1255.562,0.14779
12.10.2016 11:55:00.000 UTC+03:00,1255.609,1255.928,1255.508,1255.618,0.14906999999999998
12.10.2016 12:00:00.000 UTC+03:00,1255.609,1256.158,1255.609,1255.928,0.19912999999999997
12.10.2016 12:05:00.000 UTC+03:00,1255.938,1256.489,1255.628,1256.379,0.22404
12.10.2016 12:10:00.000 UTC+03:00,1256.358,1256.488,1256.148,1256.359,0.22090999999999997
