WindowID,EntryTime,Type,Status,MAE,MFE,BarsTracked,EntryPrice,StopPrice,TargetPrice,Bar1_Close,Bar3_Close,Bar5_Close,Bar10_Close
2025-07-22_1630,2025-07-22 16:45:00,SELL,SL_HIT,-64.62999999999738,102.87000000000262,20,23056.15,23191.53,22785.390000000007,23056.15,22985.4,23019.03,23045.91
2025-07-24_0300,2025-07-24 03:35:00,BUY,SL_HIT,-11.25,20.61999999999898,20,23252.47,23233.59,23290.230000000003,23252.47,23253.97,23245.74,23270.22
2025-07-24_1000,2025-07-24 10:55:00,BUY,SL_HIT,-22.0,0.5,2,23220.99,23204.11,23254.750000000004,23220.99,,,
2025-07-24_1630,2025-07-24 17:05:00,SELL,SL_HIT,-65.52000000000044,32.25,20,23180.7,23249.08,23043.94,23180.7,23184.58,23181.83,23217.36
2025-07-25_0300,2025-07-25 04:35:00,BUY,SL_HIT,-2.6200000000026193,14.37999999999738,20,23276.4,23256.15,23316.9,23276.4,23284.03,23281.53,23285.15
2025-07-25_1000,2025-07-25 10:15:00,SELL,TP_HIT,-7.25,26.5,20,23230.65,23248.9,23194.15,23230.65,23222.15,23225.4,23221.03
2025-07-25_1630,2025-07-25 16:45:00,BUY,TP_HIT,-22.75,39.95999999999913,20,23239.15,23186.28,23344.890000000007,23239.15,23244.4,23259.32,23257.71
2025-07-28_0300,2025-07-28 03:15:00,BUY,TP_HIT,-10.0,4.75,20,23397.65,23381.9,23429.15,23397.65,23394.9,23395.78,23393.28
2025-07-28_1000,2025-07-28 10:30:00,SELL,TP_HIT,-15.37000000000262,2.6299999999973807,20,23392.78,23421.4,23335.539999999997,23392.78,23390.4,23403.9,23393.53
2025-07-28_1630,2025-07-28 16:50:00,BUY,SL_HIT,-51.150000000001455,19.87999999999738,18,23365.65,23322.15,23452.65,23365.65,23369.53,23374.65,23367.01
2025-07-29_0300,2025-07-29 03:25:00,BUY,TP_HIT,-10.12999999999738,13.37000000000262,20,23393.28,23378.78,23422.28,23393.28,23394.9,23393.15,23402.15
2025-07-29_1000,2025-07-29 10:30:00,BUY,TP_HIT,-4.5,35.0,20,23425.15,23406.4,23462.65,23425.15,23436.65,23452.4,23452.15
2025-07-29_1630,2025-07-29 16:45:00,SELL,TP_HIT,-35.5,104.06000000000131,20,23451.65,23513.65,23327.65,23451.65,23449.65,23433.53,23420.58
2025-07-30_0300,2025-07-30 05:05:00,BUY,SL_HIT,-13.25,12.62999999999738,20,23356.4,23334.28,23400.640000000007,23356.4,23353.9,23349.03,23357.65
2025-07-30_1630,2025-07-30 17:20:00,BUY,SL_HIT,-39.590000000000146,25.520000000000437,20,23377.25,23313.53,23504.69,23377.25,23377.38,23379.98,23367.95
2025-07-31_0300,2025-07-31 03:15:00,BUY,TP_HIT,-19.37999999999738,41.75,20,23603.28,23578.03,23653.78,23603.28,23602.4,23609.03,23620.53
2025-07-31_1000,2025-07-31 10:20:00,BUY,TP_HIT,-13.37999999999738,36.75,5,23664.78,23649.28,23695.78,23664.78,23676.65,23700.15,
2025-07-31_1630,2025-07-31 17:30:00,SELL,TP_HIT,-34.55999999999767,135.1600000000035,20,23484.58,23615.65,23222.44,23484.58,23482.93,23432.02,23369.05
2025-08-01_0300,2025-08-01 03:20:00,SELL,SL_HIT,-37.62000000000262,39.75,12,23142.78,23174.78,23078.78,23142.78,23132.4,23152.4,23160.28
2025-08-01_1000,2025-08-01 10:15:00,SELL,TP_HIT,-24.62000000000262,143.37999999999738,20,23077.78,23150.03,22933.28,23077.78,23057.03,23033.28,23021.65
2025-08-01_1630,2025-08-01 16:45:00,SELL,SL_HIT,-159.62000000000262,67.5,20,22738.78,22966.78,22282.78,22738.78,22748.4,22763.4,22884.9
2025-08-04_1630,2025-08-04 16:45:00,BUY,SL_HIT,-28.989999999997963,43.13000000000102,20,23099.03,22971.9,23353.289999999997,23099.03,23128.9,23111.3,23128.94
2025-08-06_0300,2025-08-06 03:35:00,BUY,TP_HIT,-21.25,54.0,20,22977.4,22940.4,23051.4,22977.4,22969.53,22963.53,22965.9
2025-08-06_1000,2025-08-06 11:25:00,SELL,TP_HIT,-8.5,66.5,20,23080.53,23112.28,23017.03,23080.53,23071.65,23057.53,23069.03
2025-08-06_1630,2025-08-06 16:50:00,BUY,TP_HIT,-65.98999999999796,99.72999999999956,20,23120.78,23040.03,23282.28,23120.78,23160.4,23108.69,23134.51
2025-08-07_0300,2025-08-07 03:15:00,BUY,TP_HIT,-8.5,40.12999999999738,20,23361.4,23334.78,23414.640000000007,23361.4,23376.03,23384.9,23378.9
2025-08-07_1000,2025-08-07 11:05:00,BUY,TP_HIT,-8.0,55.87000000000262,20,23428.03,23361.53,23561.03,23428.03,23434.28,23458.78,23455.28
2025-08-07_1630,2025-08-07 17:20:00,SELL,TP_HIT,-49.719999999997526,82.93000000000029,20,23455.4,23538.78,23288.640000000007,23455.4,23458.48,23470.95,23423.49
2025-08-08_0300,2025-08-08 03:15:00,BUY,SL_HIT,-9.12999999999738,21.5,20,23460.1,23427.47,23525.359999999997,23460.1,23464.6,23476.1,23469.85
2025-08-08_1000,2025-08-08 10:15:00,BUY,SL_HIT,-17.87000000000262,14.37999999999738,20,23443.97,23424.22,23483.47,23443.97,23438.72,23445.85,23446.1
2025-08-08_1630,2025-08-08 16:45:00,BUY,TP_HIT,-23.5,72.5,20,23526.97,23429.22,23722.47,23526.97,23542.47,23563.22,23591.29
2025-08-12_1630,2025-08-12 16:45:00,SELL,SL_HIT,-111.03000000000247,77.0,17,23600.03,23707.03,23386.03,23600.03,23554.28,23592.28,23645.18
2025-08-13_0300,2025-08-13 03:30:00,SELL,SL_HIT,-19.12000000000262,19.12999999999738,20,23840.78,23865.65,23791.039999999997,23840.78,23837.4,23845.65,23837.9
2025-08-13_1000,2025-08-13 10:15:00,BUY,TP_HIT,-8.75,33.37999999999738,20,23882.65,23857.28,23933.390000000007,23882.65,23886.15,23880.4,23896.15
2025-08-13_1630,2025-08-13 16:55:00,SELL,TP_HIT,-36.62000000000262,110.37999999999738,16,23916.53,23967.78,23814.03,23916.53,23905.03,23893.4,23868.9
2025-08-14_0300,2025-08-14 03:40:00,SELL,SL_HIT,-11.75,18.63000000000102,20,23840.33,23863.33,23794.33,23840.33,23841.58,23827.08,23829.95
