<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^NDQ,5,20250613,185500,19572.16,19586.44,19571.35,19578.2,29345466,0
^NDQ,5,20250613,190000,19573.75,19579.72,19573.75,19574.13,33788354,0
^NDQ,5,20250613,190500,19572.67,19572.97,19556.82,19559.35,34568175,0
^NDQ,5,20250613,191000,19559.09,19559.09,19533.84,19544.43,40759633,0
^NDQ,5,20250613,191500,19543.47,19543.47,19516.49,19528.83,42031646,0
^NDQ,5,20250613,192000,19535.5,19558.34,19535.5,19550.97,31933160,0
^NDQ,5,20250613,192500,19550.96,19551.33,19529.56,19529.56,30112999,0
^NDQ,5,20250613,193000,19528.89,19541.78,19528.81,19529.35,35581613,0
^NDQ,5,20250613,193500,19529.65,19531.13,19520.28,19524.15,30493338,0
^NDQ,5,20250613,194000,19523.89,19531.93,19514.22,19521.74,34863999,0
^NDQ,5,20250613,194500,19524.71,19530.48,19519.8,19520.29,33134563,0
^NDQ,5,20250613,195000,19521.94,19547.03,19521.47,19543.09,28849004,0
^NDQ,5,20250613,195500,19543.13,19543.13,19536.21,19538.41,26772176,0
^NDQ,5,20250613,200000,19537.14,19550.54,19510.55,19514.18,42650065,0
^NDQ,5,20250613,200500,19516.4,19525.94,19494.01,19495.12,43851096,0
^NDQ,5,20250613,201000,19496.39,19501.63,19489.38,19489.38,34064928,0
^NDQ,5,20250613,201500,19488.36,19488.36,19463.64,19480.59,49484195,0
^NDQ,5,20250613,202000,19484.44,19484.47,19465.05,19472.36,36340524,0
^NDQ,5,20250613,202500,19469.91,19472.19,19430.93,19433.02,45677468,0
^NDQ,5,20250613,203000,19431.53,19436.05,19392.09,19404.93,54142981,0
^NDQ,5,20250613,203500,19404.11,19410.16,19373.78,19380.68,46239767,0
^NDQ,5,20250613,204000,19376.42,19399.6,19371.05,19389.64,39792171,0
^NDQ,5,20250613,204500,19392.5,19410.78,19385.82,19388.04,39659279,0
^NDQ,5,20250613,205000,19388.56,19419.34,19385.8,19419.29,37634239,0
^NDQ,5,20250613,205500,19420.65,19429.78,19406.88,19421.79,34522484,0
^NDQ,5,20250613,210000,19422.81,19433.46,19400.19,19416.02,41879946,0
^NDQ,5,20250613,210500,19414.72,19438.57,19411.79,19436.76,41595294,0
^NDQ,5,20250613,211000,19436.76,19442.82,19420.46,19441.71,40092224,0
^NDQ,5,20250613,211500,19439.86,19441.43,19419.25,19421.3,43545431,0
^NDQ,5,20250613,212000,19423.46,19432.43,19399.69,19399.69,46177022,0
^NDQ,5,20250613,212500,19400.81,19400.88,19385.95,19392.7,52917918,0
^NDQ,5,20250613,213000,19392.67,19408.51,19379.89,19385.99,51738227,0
^NDQ,5,20250613,213500,19384.87,19425.15,19381.58,19418.36,56657228,0
^NDQ,5,20250613,214000,19414.54,19424.31,19387.82,19388.59,53250635,0
^NDQ,5,20250613,214500,19388.56,19408.21,19369.5,19404.02,75758459,0
^NDQ,5,20250613,215000,19399.91,19405.49,19377.56,19385.57,100035026,0
^NDQ,5,20250613,215500,19383.03,19408.35,19379.64,19406.83,520904518,0
^NDQ,5,20250616,153000,19557.27,19604.41,19557.27,19583.15,224764835,0
^NDQ,5,20250616,153500,19581.38,19594.8,19566.61,19594.8,130036582,0
^NDQ,5,20250616,154000,19595.52,19595.52,19571.05,19583.97,115115236,0
^NDQ,5,20250616,154500,19589.26,19608.59,19573.21,19608.59,151554166,0
^NDQ,5,20250616,155000,19609.07,19637.89,19601.29,19630.23,196863441,0
^NDQ,5,20250616,155500,19632.33,19663.52,19632.33,19652.71,169023302,0
^NDQ,5,20250616,160000,19671.23,19676.56,19661.72,19668.63,121066844,0
^NDQ,5,20250616,160500,19672.28,19673.65,19657.89,19657.89,115786983,0
^NDQ,5,20250616,161000,19656.62,19686.65,19656.62,19683.28,98939679,0
^NDQ,5,20250616,161500,19683.63,19697.62,19677.42,19697.62,103350555,0
^NDQ,5,20250616,162000,19696.05,19704.09,19688.74,19700.51,100747602,0
^NDQ,5,20250616,162500,19700.77,19706.61,19692.4,19706.42,89774953,0
^NDQ,5,20250616,163000,19706.34,19714.96,19705.26,19713.51,84722071,0
^NDQ,5,20250616,163500,19716.95,19716.95,19704.35,19711.84,74949720,0
^NDQ,5,20250616,164000,19712.37,19713.74,19701.95,19710.5,102213635,0
^NDQ,5,20250616,164500,19711.45,19711.89,19699.84,19699.84,118531896,0
^NDQ,5,20250616,165000,19696.81,19707.7,19695.37,19700.98,92390234,0
^NDQ,5,20250616,165500,19704.82,19704.83,19699.29,19704.76,77150990,0
^NDQ,5,20250616,170000,19705.77,19709.37,19698.54,19700.97,84595449,0
^NDQ,5,20250616,170500,19710.97,19712.4,19701.94,19710.96,70488973,0
^NDQ,5,20250616,171000,19713.16,19717.76,19706.92,19714.72,65481379,0
^NDQ,5,20250616,171500,19715.37,19728.24,19715.37,19726.1,60594206,0
^NDQ,5,20250616,172000,19724.79,19730.52,19721.51,19730.52,50764844,0
^NDQ,5,20250616,172500,19730.63,19732.99,19701.73,19703.41,59377979,0
^NDQ,5,20250616,173000,19703.75,19715.76,19701.58,19707.55,67989491,0
^NDQ,5,20250616,173500,19707.62,19711.79,19700.36,19705.02,58700480,0
^NDQ,5,20250616,174000,19703.68,19708.51,19702.51,19704.47,45680316,0
^NDQ,5,20250616,174500,19705.33,19713.13,19704.85,19711.43,38828672,0
^NDQ,5,20250616,175000,19712.16,19712.16,19692.19,19692.19,49155984,0
^NDQ,5,20250616,175500,19692.96,19695.43,19680.48,19689.41,60296508,0
^NDQ,5,20250616,180000,19689.35,19697.13,19682.07,19683.43,41929064,0
^NDQ,5,20250616,180500,19687.76,19690.97,19681.6,19690.7,44829125,0
^NDQ,5,20250616,181000,19690.97,19703.8,19690.43,19703.04,45075214,0
^NDQ,5,20250616,181500,19702.76,19711.75,19699.45,19706.91,57933979,0
