WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow,Market,is_win
2025-05-01_1000,1000,BREAKOUT,BUY,2025-05-01 11:10:00,2025-05-01 15:50:00,192.2,192.694,191.953,192.694,0.2469999999999856,0.4939999999999713,2.0,TP_HIT,0.0249999999999772,0.7088607594933886,0.2013081584296764,0.2220000000000084,192.064,0.1359999999999672,1.7876164468572198,1,0.1241877139753905,192.1054605356828,191.99707055810293,191.68802639838583,191.04727135599475,190.25205167004856,0.1241877139753905,0.0646137949923988,0.906606086252458,0.5,1.0,0,1,1,1,1000,192.175,191.953,GBPJPY,True
2025-05-01_1630,1630,BREAKOUT,BUY,2025-05-01 16:45:00,2025-05-01 16:55:00,192.824,192.574,192.574,193.324,0.25,-0.25,-1.0,SL_HIT,0.1210000000000093,0.8301886792453215,0.9052943179131148,0.1289999999999906,192.6385,0.1854999999999904,0.96514848769235,1,0.1336581900557364,192.66519918985728,192.6060041518236,192.4681105252163,191.7301686460968,190.36071188413567,0.1336581900557364,0.069316158805821,1.120258602215134,0.0,1.0,0,0,1,1,1630,192.703,192.574,GBPJPY,False
2025-05-02_0300,300,BREAKOUT,BUY,2025-05-02 03:15:00,2025-05-02 10:20:00,193.444,193.118,193.118,194.096,0.3259999999999934,-0.3259999999999934,-1.0,SL_HIT,0.1189999999999997,0.8647058823528094,1.199680571795625,0.2069999999999936,193.2215,0.2224999999999966,2.086839313963757,1,0.0991930708870997,193.28506527921277,193.21060252032623,193.1447566682092,192.7338135124185,190.6520110800292,0.0991930708870997,0.051277408907539,1.3040832709412418,0.0,1.0,0,0,1,1,300,193.325,193.118,GBPJPY,False
2025-05-02_1000,1000,BREAKOUT,SELL,2025-05-02 10:40:00,2025-05-02 11:55:00,193.08,192.48200000000008,193.379,192.48200000000008,0.2989999999999781,0.5979999999999563,2.0,TP_HIT,0.0769999999999981,0.6782608695649424,0.6945344898840118,0.22199999999998,193.268,-0.1879999999999881,2.002424113691433,0,0.1108656245607864,193.1810180571754,193.2338023767326,193.28290257067488,193.08569037190568,190.82966374292872,0.1108656245607864,0.0574195279473723,1.0695198934026666,0.0,0.3333333333333333,0,0,0,1,1000,193.379,193.157,GBPJPY,True
2025-05-02_1630,1630,BREAKOUT,BUY,2025-05-02 18:00:00,2025-05-05 05:35:00,191.965,191.552,191.552,192.79100000000005,0.4130000000000109,-0.4130000000000109,-1.0,SL_HIT,0.0360000000000013,0.8827160493826868,0.260739644680509,0.3770000000000095,191.7405,0.2245000000000061,2.730523501237519,0,0.1380687622095714,191.8731287557083,191.87007796163775,192.0144674412936,192.5449531258012,190.9278396779168,0.1380687622095714,0.0719239247829403,0.9073522389140584,0.0,0.6666666666666666,0,0,0,1,1630,191.929,191.552,GBPJPY,False
2025-05-05_0300,300,BREAKOUT,SELL,2025-05-05 05:40:00,2025-05-06 11:10:00,191.579,190.701,192.018,190.701,0.4389999999999929,0.8779999999999859,2.0,TP_HIT,0.3160000000000025,0.333333333333136,4.114117854555809,0.1229999999999904,191.9565,-0.3774999999999977,1.6013813168048137,0,0.0768086892916975,191.62623695701572,191.69150976499637,191.8264022196635,192.14506296262027,191.0531873396344,0.0768086892916975,0.040092436692799,0.8827467731107093,0.0,0.3333333333333333,0,0,0,1,300,192.018,191.895,GBPJPY,True
2025-05-06_1000,1000,BREAKOUT,SELL,2025-05-06 11:15:00,2025-05-07 01:20:00,190.593,191.203,191.203,189.373,0.6100000000000136,-0.6100000000000136,-1.0,SL_HIT,0.4870000000000232,0.7755102040817077,3.914404926556852,0.1229999999999904,191.1415,-0.5485000000000184,0.9886484722103336,0,0.124412269332696,190.82601176145005,190.94447926058857,191.03495953340223,191.1585817341059,191.1002154552996,0.124412269332696,0.0652764106408399,1.340650548630842,0.0,0.0,0,0,0,0,1000,191.203,191.08,GBPJPY,False
2025-05-07_0300,300,BREAKOUT,BUY,2025-05-07 03:25:00,2025-05-07 04:10:00,191.052,190.744,190.744,191.668,0.3079999999999927,-0.3079999999999927,-1.0,SL_HIT,0.0060000000000002,0.5841584158415647,0.0510668873465385,0.3019999999999925,190.895,0.1570000000000107,2.5703666631089472,1,0.1174929648498915,190.97541028744152,190.9809830833293,190.8788164656341,190.8305518987249,191.04902867418136,0.1174929648498915,0.0614978983993318,0.9391468726320656,0.0,0.6666666666666666,0,0,1,1,300,191.046,190.744,GBPJPY,False
2025-05-07_1000,1000,BREAKOUT,BUY,2025-05-07 10:20:00,2025-05-07 11:15:00,191.051,191.395,190.879,191.395,0.171999999999997,0.3439999999999941,2.0,TP_HIT,0.0289999999999963,0.5731707317073256,0.3555836619600774,0.1430000000000006,190.9505,0.1005000000000109,1.7533952986309551,1,0.0815560530541256,190.9872870330077,191.0008800181444,191.01257514565663,190.93103984649036,191.04695508744345,0.0815560530541256,0.0426881058220714,1.137536812055118,0.0,0.3333333333333333,0,0,1,1,1000,191.022,190.879,GBPJPY,True
2025-05-07_1630,1630,BREAKOUT,SELL,2025-05-07 16:45:00,2025-05-07 17:15:00,191.257,191.535,191.535,190.701,0.2779999999999916,-0.2779999999999916,-1.0,SL_HIT,0.0919999999999845,0.9870129870129248,1.0100727111423644,0.186000000000007,191.442,-0.1850000000000022,2.042103524701288,1,0.0910825517659368,191.4126297567312,191.4203429784312,191.34641365616875,191.12776186132768,191.06101698487169,0.0910825517659368,0.0476231205999972,1.1258928452673287,0.0,0.6666666666666666,0,0,1,1,1630,191.535,191.349,GBPJPY,False
